Unnamed: 0,pixel,closest contour point,closest skeleton point,slope at nc,slope at ns,average slope,average angle
1406,[  66 3628],[  47 3645],[  94 3615],1.7857142857142856,2.4999999999999996,2.1087941156803383,-64.6294739996749
520,[ 143 3086],[ 134 3086],[ 183 3055],inf,2.4999999999999996,16.557312143199994,-86.54374665633908
1026,[  57 2813],[  32 2835],[  81 2806],2.5,2.4999999999999996,2.5,-68.19859051364821
2206,[ 193 2488],[ 198 2493],[ 153 2460],-1.7857142857142858,-1.785714285714286,-1.78571,60.751115041598325
1120,[114 639],[103 650],[152 626],1.7857142857142856,2.4999999999999996,1.985136412833036,-63.2636064632018
1478,[170 992],[171 993],[130 953],-1.3461538461538465,-1.785714285714286,-1.357002485384381,53.61281788487083
2018,[ 156 2981],[ 120 3016],[ 164 2979],2.4999999999999996,2.4999999999999996,2.5,-68.19859051364821
2325,[164 800],[134 781],[184 800],-2.4999999999999996,-2.5000000000000004,-2.4999999999999996,68.19859051364818
2353,[ 150 2883],[ 169 2865],[ 124 2897],1.785714285714286,1.7857142857142856,1.78571,-60.751115041598325
2357,[  92 1355],[  74 1371],[ 120 1340],1.7857142857142856,1.7857142857142856,1.7857099999999997,-60.751115041598304
1559,[ 159 1563],[ 134 1556],[ 185 1565],-2.4999999999999996,-2.4999999999999996,-2.5000000000000004,68.19859051364821
565,[  83 3689],[  74 3697],[ 122 3670],1.7857142857142856,1.7857142857142856,1.78571,-60.751115041598325
267,[131 619],[102 648],[145 611],1.7857142857142856,1.785714285714286,1.78571,-60.75111504159832
20,[ 211 2414],[ 226 2427],[ 175 2404],-2.4999999999999996,-2.4999999999999996,-2.4999999999999996,68.19859051364818
265,[ 150 2856],[ 160 2848],[ 112 2875],1.785714285714286,1.7857142857142856,1.78571,-60.751115041598325
2344,[  95 1856],[ 122 1882],[  76 1849],-2.4999999999999996,-2.4999999999999996,-2.5,68.19859051364821
375,[ 113 3746],[ 104 3754],[ 152 3727],1.7857142857142856,1.785714285714286,1.78571,-60.751115041598325
1011,[ 119 2484],[  92 2458],[ 136 2492],-1.7857142857142856,-1.7857142857142858,-1.78571,60.75111504159832
2462,[ 205 2319],[ 242 2355],[ 187 2319],-2.4999999999999996,inf,-9.669949721744612,84.09584991929749
493,[  83 3435],[ 117 3464],[  69 3435],-2.4999999999999996,-2.5000000000000004,-2.5,68.19859051364821
2286,[ 131 2989],[ 115 3003],[ 162 2974],2.4999999999999996,1.785714285714286,2.227353970098454,-65.82167375077617
564,[  57 3609],[  39 3627],[  86 3596],2.5,2.4999999999999996,2.5,-68.19859051364821
2047,[  32 1954],[   9 1971],[  65 1949],2.5,2.4999999999999996,2.5,-68.19859051364821
864,[ 132 3330],[ 154 3351],[ 109 3319],-1.7857142857142858,-1.7857142857142856,-1.78571,60.75111504159832
452,[139 863],[120 846],[167 874],-2.4999999999999996,-2.4999999999999996,-2.5,68.19859051364821
735,[ 107 3721],[  94 3734],[ 139 3702],1.7857142857142856,1.3461538461538465,1.6403654081758845,-58.63266836006885
261,[  98 1836],[ 127 1864],[  82 1830],-2.4999999999999996,-2.4999999999999996,-2.5,68.19859051364821
2058,[209  67],[230  88],[179  61],-2.4999999999999996,-2.4999999999999996,-2.5,68.19859051364821
1200,[153 835],[129 815],[176 845],-2.4999999999999996,-2.4999999999999996,-2.5,68.19859051364821
562,[ 131 2534],[ 161 2563],[ 117 2528],-1.7857142857142858,-1.7857142857142856,-1.78571,60.751115041598325
1774,[ 119 3761],[ 111 3769],[ 158 3741],1.7857142857142856,2.4999999999999996,1.9322613338298469,-62.63715444183838
151,[  70 2083],[  51 2102],[  97 2070],1.7857142857142856,1.7857142857142856,1.78571,-60.75111504159832
