Unnamed: 0,pixel,closest contour point,closest skeleton point,slope at nc,slope at ns,average slope,average angle
470,[ 376 6843],[ 388 6822],[ 373 6876],0.3,0.3,0.3,-16.69924423399362
2141,[ 230 5308],[ 200 5340],[ 237 5293],0.3,0.5,0.4452037736658067,-23.998808787219488
2004,[ 337 6895],[ 306 6929],[ 343 6874],0.3,0.3,0.3,-16.69924423399362
880,[ 995 4381],[1025 4413],[ 988 4363],-0.3,-0.3,-0.3,16.69924423399362
2462,[1232  273],[1269  312],[1228  264],-0.5,-0.3,-0.3309675611229153,18.312868476596503
366,[ 716 4414],[ 709 4405],[ 742 4454],-0.5,-0.5,-0.5,26.56505117707799
2217,[ 548 3197],[ 585 3157],[ 546 3206],0.3,0.3,0.3,-16.69924423399362
2383,[  77 2576],[  46 2547],[  94 2582],-1.7857142857142856,-2.4999999999999996,-2.287077875505005,66.38316768913428
1147,[ 867 2869],[ 896 2899],[ 861 2851],-0.5,-0.3,-0.3625172707085003,19.926455262890304
2349,[ 723 3671],[ 692 3637],[ 729 3684],-0.3,-0.5,-0.4525339561696898,24.348366721113333
1659,[1272 1809],[1308 1845],[1267 1800],-0.5,-0.7000000000000001,-0.6663581728054547,33.67782897082797
1507,[ 775 6739],[ 751 6713],[ 786 6761],-0.5,-0.3,-0.3820160060505438,20.90765718455067
27,[1388 4855],[1405 4872],[1361 4834],-1.3461538461538465,-1.3461538461538465,-1.34615,53.39284682374126
1636,[1392  862],[1365  835],[1412  871],-2.4999999999999996,-2.4999999999999996,-2.4999999999999996,68.19859051364818
1037,[ 694 5543],[ 705 5530],[ 680 5582],0.3,0.3,0.2999999999999999,-16.69924423399362
