,pixel,closest contour point,closest skeleton point,slope at nc,slope at ns,average slope,average angle
0,[1398 2917],[1426 2891],[1383 2931],1.3461538461538463,1.176470588235294,1.235752264539402,-51.01939570662817
1,[ 760 3279],[ 795 3243],[ 756 3289],0.5,0.5,0.5,-26.56505117707799
2,[ 444 2940],[ 444 2940],,0.0,,0.0,0.0
3,[1434  896],[1456  918],[1409  882],-1.7857142857142858,-1.5625,-1.6695120092445919,59.07934332980959
4,[  71 2091],[  57 2105],[ 105 2072],1.3461538461538467,1.5624999999999993,1.4190637200323184,-54.82803011749597
5,[1101 2815],[1101 2855],[1101 2798],0.0,0.0,0.0,0.0
6,[ 570 5312],[ 607 5349],[ 567 5300],-0.3,-0.30000000000000004,-0.3,16.69924423399362
7,[ 233 3283],[ 235 3287],[ 195 3244],-0.7000000000000001,-0.7000000000000001,-0.6999999999999998,34.992020198558656
8,[ 201 3778],[ 195 3786],[ 232 3739],0.5,0.7000000000000001,0.5334338159767629,-28.076969022406125
9,[207  73],[203  68],[245 113],-0.5,-0.5,-0.5,26.56505117707799
10,[ 907 5647],[ 926 5625],[ 896 5675],0.3,0.30000000000000004,0.3,-16.69924423399362
11,[1396 3754],[1361 3787],[1406 3748],2.4999999999999996,1.5625,1.7454308059057488,-60.19054966271656
12,[ 535 5554],[ 509 5584],[ 540 5533],0.30000000000000004,0.3,0.3,-16.69924423399362
13,[  66 7500],[  47 7519],[  96 7486],2.5,1.3461538461538463,1.9830591780995404,-63.23949761500943
14,[ 769 6449],[ 761 6459],[ 792 6409],0.5,0.5,0.5,-26.56505117707799
15,[ 560 5509],[ 584 5484],[ 554 5536],0.3,0.30000000000000004,0.3,-16.69924423399362
16,[1217  539],[1212  546],[1250  499],0.30000000000000004,0.5,0.32845724423965783,-18.183140697091293
17,[1403 3244],[1437 3278],[1393 3239],-1.3461538461538463,-1.7857142857142858,-1.7027850660212098,59.5754264219456
18,[ 769 3614],[ 762 3605],[ 795 3654],-0.5,-0.5,-0.5,26.56505117707799
19,[ 759 3640],[ 738 3616],[ 770 3665],-0.3,-0.30000000000000004,-0.29999999999999993,16.69924423399362
20,[ 787 4887],[ 767 4910],[ 800 4861],0.30000000000000004,0.5,0.40236885954234675,-21.918318701067616
21,[ 231 3695],[ 245 3680],[ 213 3728],0.6,0.7000000000000001,0.6353104944315432,-32.428223501474235
22,[ 618 2996],[ 633 3012],[ 605 2960],-0.30000000000000004,-0.3,-0.29999999999999993,16.69924423399362
23,[846 481],[836 470],[865 521],-0.30000000000000004,-0.30000000000000004,-0.3,16.69924423399362
24,[ 493 2195],[ 463 2162],[ 499 2213],-0.3,-0.30000000000000004,-0.3,16.69924423399362
25,[ 200 1662],[ 174 1636],[ 210 1682],-0.7000000000000001,-0.5,-0.5756319698694315,29.926106586640987
26,[1329 7178],[1294 7144],[1336 7185],-1.0,-1.0,-1.0,44.99999999999999
27,[1388 4855],[1405 4872],[1361 4834],-1.3461538461538463,-1.3461538461538463,-1.34615,53.39284682374126
28,[296 837],[278 815],[305 869],-0.30000000000000004,-0.30000000000000004,-0.29999999999999993,16.69924423399362
29,[1409 5270],[1440 5239],[1395 5277],1.5,1.3461538461538463,1.3866275269586574,-54.201829711989575
30,[1368 2200],[1352 2216],[1398 2181],2.4999999999999996,1.3461538461538463,2.050919284797718,-64.00677468716518
31,[1306 3342],[1340 3377],[1302 3332],-0.7000000000000001,-0.7000000000000001,-0.7,34.99202019855866
32,[ 152 4841],[ 188 4877],[ 146 4836],-1.0,-1.0,-1.0,44.99999999999999
33,[ 936 2871],[ 944 2882],[ 915 2831],-0.30000000000000004,-0.3,-0.30000000000000004,16.69924423399362
34,[ 267 5500],[ 249 5479],[ 278 5531],-0.30000000000000004,-0.3,-0.3,16.69924423399362
35,[ 729 4088],[ 709 4108],[ 744 4060],0.5,0.5,0.5,-26.56505117707799
36,[1039 4951],[1005 4990],[1043 4935],0.30000000000000004,0.3,0.3,-16.69924423399362
