Unnamed: 0,pixel,closest contour point,closest skeleton point,slope at nc,slope at ns,average slope,average angle
1659,[ 486 3334],[ 486 3334],,0.0,,0.0,0.0
756,[  63 1159],[  83 1159],[  47 1159],inf,2.5,4.5,-77.47119229084852
862,[ 855 3009],[ 876 2990],[ 846 3016],1.7857142857142858,1.5624999999999998,1.6265709594359044,-58.41720402519918
90,[ 561 2846],[ 561 2846],,0.0,,0.0,0.0
639,[ 898 3089],[ 901 3089],[ 861 3089],inf,inf,100.0,-89.42706130231674
426,[417 170],[442 144],[417 178],0.3,0.2,0.2181531948868183,-12.306450335755288
1599,[769 153],[746 128],[771 157],-0.7000000000000002,-0.7000000000000001,-0.7,34.99202019855866
360,[ 352 2925],[ 378 2952],[ 348 2916],-0.3,-0.3,-0.3,16.69924423399362
2256,[  56 1827],[  39 1812],[  69 1837],-1.3461538461538467,-1.3461538461538465,-1.3461499999999995,53.39284682374126
1787,[ 600 2104],[ 571 2070],[ 600 2108],-0.3,0.0,-0.0246468284359466,1.4118734056244655
1004,[ 377 2537],[ 377 2539],[ 384 2502],0.3,0.3,0.3,-16.69924423399362
603,[ 493 3271],[ 504 3259],[ 488 3294],0.3,0.3,0.3,-16.69924423399362
211,[ 516 2898],[ 537 2926],[ 516 2891],-0.3,0.0,-0.0499999999999999,2.8624052261117465
2070,[ 691 1323],[ 708 1306],[ 689 1341],0.3,0.3,0.3,-16.69924423399362
2287,[ 271 1374],[ 250 1402],[ 271 1364],0.3,0.0,0.0666666666666666,-3.814074834290353
1522,[ 847 1539],[ 824 1539],[ 861 1539],inf,inf,100.0,-89.42706130231674
2409,[628 583],[628 594],[635 558],0.0,0.3,0.0892820667376696,-5.101957916054458
1108,[812 672],[800 684],[831 662],1.3461538461538465,1.3461538461538465,1.3461499999999995,-53.39284682374126
714,[ 798 2442],[ 781 2426],[ 809 2453],-1.0,-1.0,-1.0,44.99999999999999
2045,[ 891 3803],[ 891 3803],,2.499999999999999,,2.499999999999999,-68.19859051364818
2170,[357 579],[330 552],[357 587],-0.3,0.0,-0.0519663119381467,2.9747744861274437
735,[ 116 2850],[ 139 2827],[ 114 2856],1.0,0.7000000000000001,0.7488364206080493,-36.82720616927364
2499,[  71 2850],[  62 2859],[  89 2831],1.1764705882352942,1.3461538461538465,1.2319879980679735,-50.93389234113814
1269,[ 756 2511],[ 774 2529],[ 748 2499],-0.5,-0.7000000000000001,-0.627668452282418,32.11519550353734
862,[ 855 3009],[ 876 2990],[ 846 3016],1.7857142857142858,1.5624999999999998,1.6265709594359044,-58.41720402519918
1368,[ 349 2470],[ 350 2459],[ 349 2498],0.3,0.0,0.215134391926929,-12.14123984710722
146,[  95 2030],[ 109 2016],[  80 2042],1.5,1.3461538461538465,1.421912267265328,-54.88211274225971
1870,[ 106 1046],[ 117 1058],[  89 1032],-1.3461538461538465,-1.3461538461538465,-1.34615,53.39284682374126
1290,[  57 1229],[  29 1256],[  59 1227],1.7857142857142858,2.5,2.4515810192572935,-67.80945051451296
1728,[ 48 412],[ 15 442],[ 49 411],2.5,2.5,2.5,-68.19859051364821
1109,[  43 3526],[  16 3549],[  50 3523],2.5,2.5,2.5,-68.19859051364821
1463,[ 200 2105],[ 213 2092],[ 195 2125],0.5,0.3,0.4057198318047252,-22.083370235621057
2135,[ 110 1012],[ 136 1038],[ 108 1011],-1.0,-1.0,-1.0,44.99999999999999
242,[  96 2534],[  89 2528],[ 115 2556],-0.8,-0.7000000000000001,-0.7759208071493227,37.8086307151309
234,[ 757 2149],[ 732 2174],[ 758 2145],0.5,0.7000000000000001,0.6791121172147392,-34.18090116041409
1856,[ 544 2103],[ 522 2075],[ 544 2111],-0.3,0.0,-0.0550345268362718,3.1500683716918054
2150,[ 545 1299],[ 545 1296],[ 552 1334],0.0,-0.3,-0.0232599390795529,1.332456078402443
377,[ 867 2243],[ 883 2230],[ 850 2251],2.5,1.7857142857142858,2.126293473421975,-64.81230613865873
1270,[ 70 462],[ 95 439],[ 65 464],2.4999999999999996,1.7857142857142856,1.8834484579678408,-62.034335103457245
1208,[ 112 1294],[ 135 1271],[ 107 1298],1.0,1.0,1.0,-44.99999999999999
2291,[  72 1050],[  46 1025],[  75 1051],-1.3461538461538467,-1.7857142857142856,-1.7502791531670707,60.25905528772069
2250,[ 497 1343],[ 523 1376],[ 497 1341],-0.3,-0.2,-0.2045442252214878,11.560063187704126
1193,[ 407 2478],[ 412 2467],[ 404 2504],0.3,0.3,0.3,-16.69924423399362
1042,[832 849],[811 830],[841 854],-2.5,-1.7857142857142858,-1.9761546708284372,63.15907224289069
2431,[  43 1241],[  28 1254],[  62 1234],1.7857142857142858,2.5,2.1393009664973195,-64.94661906223507
594,[863 885],[867 889],[836 866],-1.5,-1.3461538461538465,-1.4774951651118406,55.90902647426595
694,[742 577],[765 552],[740 583],0.5,0.5,0.5,-26.56505117707799
1046,[ 754 1727],[ 778 1751],[ 752 1721],-0.6,-0.3,-0.3471211850287715,19.14297114012766
489,[  16 1905],[   8 1903],[  48 1907],-2.5,-2.5,-2.5,68.19859051364821
284,[  38 2593],[  36 2593],[  69 2613],-1.7857142857142856,-1.3461538461538465,-1.7631057105770422,60.438917816010694
227,[ 494 2501],[ 510 2484],[ 494 2519],0.3,0.3,0.3,-16.69924423399362
2272,[ 431 1381],[ 436 1391],[ 425 1354],-0.3,-0.3,-0.3,16.69924423399362
1097,[ 468 2113],[ 443 2088],[ 468 2122],-0.3,-0.1999999999999999,-0.2202906801996532,12.423303430460209
1334,[ 243 2472],[ 235 2462],[ 243 2500],-0.3,-0.3,-0.3,16.69924423399362
2235,[404 158],[419 140],[404 176],0.3,0.3,0.3,-16.69924423399362
1445,[ 512 3655],[ 489 3632],[ 512 3667],-0.3,-0.1999999999999999,-0.2269499937871963,12.786681788231665
180,[681 229],[682 234],[674 196],-0.3,-0.3,-0.3,16.69924423399362
1919,[  98 1854],[ 102 1857],[  71 1835],-1.7857142857142856,-1.3461538461538465,-1.7278962043578592,59.94038246238188
1503,[ 424 2534],[ 415 2545],[ 430 2509],0.3,0.3,0.2999999999999999,-16.69924423399362
1271,[ 625 3322],[ 637 3344],[ 625 3305],-0.3,0.0,-0.121255556574174,6.913679734286338
