Unnamed: 0,pixel,closest contour point,closest skeleton point,slope at nc,slope at ns,average slope,average angle
40,[213 903],[231 919],[201 896],-1.3461538461538465,-1.3461538461538465,-1.34615,53.39284682374126
1615,[ 230 3103],[ 207 3103],[ 243 3103],inf,-2.5000000000000004,-3.91304347826087,75.66456458047992
377,[  46 2686],[  12 2656],[  47 2687],-2.5,-2.5,-2.5,68.19859051364821
1471,[  67 3608],[  51 3622],[  82 3600],1.3461538461538467,1.3461538461538465,1.3461499999999995,-53.39284682374126
2460,[  26 3475],[   7 3468],[  46 3475],-2.5,inf,-5.0310570914145725,78.75810117174605
137,[ 84 254],[ 58 229],[ 86 256],-1.1764705882352942,-1.1764705882352942,-1.17647,49.63544929005889
1984,[ 118 2102],[  94 2126],[ 122 2100],1.1764705882352942,1.3461538461538465,1.3263955714468958,-52.98652290495743
150,[ 102 3338],[ 128 3365],[ 101 3338],-1.3461538461538465,-1.1764705882352942,-1.180879181888373,49.741183401126165
411,[  77 1201],[  87 1194],[  53 1206],2.4999999999999996,2.5,2.5000000000000004,-68.19859051364821
1631,[  50 2644],[  23 2620],[  55 2646],-2.5,-1.7857142857142856,-1.8783762042487493,61.97029150884632
265,[ 250 2323],[ 281 2350],[ 244 2323],-2.5,inf,-19.62900399257872,87.08358670733735
187,[ 195 2991],[ 180 3004],[ 211 2982],1.7857142857142858,1.785714285714286,1.78571,-60.75111504159832
956,[  30 1162],[   8 1181],[  46 1162],2.5,inf,7.042013079296447,-81.91775956150238
2018,[ 257 1608],[ 270 1621],[ 236 1601],-1.7857142857142858,-2.4999999999999996,-2.1097926395262836,64.63997316638199
2462,[  88 1303],[  69 1321],[  98 1296],1.1764705882352942,1.3461538461538465,1.2921828537963056,-52.26427538202814
976,[260 741],[279 724],[242 742],2.5,2.4999999999999996,2.5000000000000004,-68.19859051364821
1351,[ 276 1582],[ 280 1582],[ 241 1577],-2.5000000000000004,-2.4999999999999996,-2.5,68.19859051364821
637,[  53 2800],[  34 2818],[  65 2794],1.7857142857142856,1.7857142857142856,1.78571,-60.75111504159832
713,[ 245 2974],[ 249 2971],[ 217 2991],1.3461538461538465,1.3461538461538465,1.3461500000000002,-53.392846823741266
399,[ 187 1411],[ 166 1432],[ 194 1406],1.3461538461538465,1.3461538461538465,1.3461500000000002,-53.392846823741266
1412,[  40 2635],[  23 2620],[  57 2638],-2.5,-2.5,-2.5,68.19859051364821
180,[ 199 2502],[ 203 2506],[ 176 2479],-1.176470588235294,-1.176470588235294,-1.17647,49.63544929005889
1170,[221 894],[238 909],[207 887],-1.3461538461538465,-1.3461538461538465,-1.3461499999999995,53.39284682374126
1051,[ 229 2347],[ 207 2332],[ 241 2347],-2.4999999999999996,-2.5000000000000004,-2.5,68.19859051364821
122,[ 134 2087],[ 149 2073],[ 122 2099],1.3461538461538465,1.3461538461538465,1.34615,-53.39284682374126
569,[ 95 200],[ 87 193],[116 218],-1.0,-1.3461538461538465,-1.0961019142275703,47.62505406656303
736,[193 190],[193 191],[166 164],-1.0,-1.0,-1.0,44.99999999999999
1035,[ 151 3637],[ 156 3631],[ 129 3658],1.0,1.0,1.0,-44.99999999999999
2369,[  61 1827],[  41 1807],[  71 1832],-1.7857142857142856,-1.7857142857142856,-1.78571,60.75111504159832
621,[ 162 3299],[ 175 3312],[ 148 3285],-1.0,-1.0,-1.0,44.99999999999999
535,[222 882],[243 901],[214 876],-1.3461538461538465,-1.3461538461538465,-1.34615,53.39284682374126
2497,[  34 1141],[   9 1122],[  46 1146],-2.5,-2.5,-2.5,68.19859051364821
1973,[ 210 3183],[ 191 3164],[ 222 3186],-1.785714285714286,-2.4999999999999996,-2.274836386904682,66.27009087447665
