Unnamed: 0,pixel,closest contour point,closest skeleton point,slope at nc,slope at ns,average slope,average angle
61,[ 137 3320],[ 120 3304],[ 140 3326],-0.7000000000000001,-0.5,-0.5446418390534633,28.57456000271833
1073,[ 442 3145],[ 454 3155],[ 427 3144],-1.7857142857142858,-2.5,-2.1496964563662946,65.05300113265606
997,[ 251 2486],[ 244 2479],[ 257 2505],-0.3,-0.3,-0.3,16.69924423399362
1535,[281 595],[263 614],[284 591],0.3,0.3,0.3,-16.69924423399362
1034,[398 835],[390 828],[415 843],-1.5,-1.7857142857142858,-1.6032392933121276,58.046675211111605
1317,[  50 1276],[  50 1276],,1.1764705882352942,,1.1764705882352942,-49.63546342690264
1548,[  84 3365],[  64 3346],[  85 3367],-1.0,-1.0,-1.0,44.99999999999999
1456,[  66 1835],[  46 1815],[  67 1837],-1.1764705882352942,-1.1764705882352942,-1.17647,49.63544929005889
2289,[ 179 3669],[ 168 3683],[ 184 3658],0.3,0.3,0.3,-16.69924423399362
535,[  70 2009],[  83 1996],[  60 2014],1.5,1.3461538461538467,1.40432989282206,-54.545963217812854
792,[ 131 2842],[ 143 2830],[ 125 2853],0.6,0.7000000000000001,0.6575263039999755,-33.3259719733596
143,[ 273 2107],[ 273 2107],,0.3,,0.3,-16.69924423399362
1689,[  24 1945],[   8 1955],[  38 1945],2.5,inf,5.8692789757345,-80.33086870463384
2245,[ 462 1526],[ 464 1526],[ 434 1533],2.5000000000000004,2.5,2.5,-68.19859051364821
1193,[ 262 2143],[ 248 2160],[ 264 2135],0.3,0.3,0.3,-16.69924423399362
143,[ 273 2107],[ 273 2107],,0.3,,0.3,-16.69924423399362
698,[ 15 401],[  8 404],[ 38 398],2.5,2.5,2.5,-68.19859051364821
1584,[416 836],[396 816],[418 837],-1.785714285714286,-1.3461538461538465,-1.3783542960579525,54.03900698753712
353,[391  63],[386  60],[412  73],-1.3461538461538465,-1.7857142857142858,-1.4342566215326944,55.11481607741433
1102,[ 404 2411],[ 383 2391],[ 405 2411],-1.3461538461538465,-1.3461538461538465,-1.3461499999999995,53.39284682374126
936,[ 387 1393],[ 389 1391],[ 372 1415],1.0,0.7000000000000001,0.9711928609693078,-44.16273540123491
111,[  60 2689],[  65 2694],[  39 2687],-2.4999999999999996,-2.5,-2.5,68.19859051364821
1366,[ 190 2862],[ 194 2855],[ 180 2880],0.3,0.3,0.3,-16.69924423399362
417,[ 177 2554],[ 185 2562],[ 169 2537],-0.5,-0.5,-0.5,26.56505117707799
2150,[ 445 1466],[ 447 1465],[ 421 1478],1.785714285714286,2.5,1.8406553846153848,-61.48544132839448
1389,[ 354 1388],[ 367 1375],[ 347 1397],0.6,0.7000000000000001,0.6617217781462681,-33.4934741437619
794,[  35 1204],[  18 1220],[  43 1202],2.5,2.5,2.5,-68.19859051364821
13,[  18 2733],[   9 2738],[  39 2733],2.5,2.5,2.5,-68.19859051364821
560,[  76 1990],[  79 1989],[  52 1999],1.7857142857142856,2.5,1.8641555319605392,-61.78929265564502
1120,[ 411 1581],[ 402 1574],[ 428 1585],-2.5,-2.5,-2.5,68.19859051364821
978,[ 431 3792],[ 442 3782],[ 418 3799],1.785714285714286,1.7857142857142858,1.78571,-60.75111504159832
824,[ 179 2546],[ 192 2559],[ 176 2534],-0.5,-0.3,-0.3804401339448289,20.828823633508588
1889,[ 162 3643],[ 180 3625],[ 159 3647],0.3,0.5,0.4671655792572782,-25.040362554726705
2111,[ 187 1767],[ 198 1781],[ 182 1756],-0.3,-0.3,-0.3,16.69924423399362
1896,[ 255 1349],[ 272 1331],[ 253 1355],0.3,0.3,0.3,-16.69924423399362
363,[ 190 1354],[ 182 1362],[ 196 1336],0.5,0.3,0.4252909260000174,-23.039609180464133
719,[  45 2748],[  66 2727],[  42 2748],2.4999999999999996,inf,27.248737341529157,-87.89824837270805
435,[  60 1253],[  44 1268],[  66 1248],1.3461538461538467,1.3461538461538465,1.3461500000000002,-53.392846823741266
42,[  94 1031],,[  94 1031],,-0.7000000000000001,-0.7000000000000001,34.99202019855867
1656,[ 228 3682],[ 212 3699],[ 231 3675],0.3,0.3,0.3,-16.69924423399362
790,[  14 3481],[   6 3481],[  37 3481],inf,inf,100.0,-89.42706130231674
1834,[  93 2032],[ 103 2022],[  82 2043],1.0,1.0,1.0,-44.99999999999999
510,[441 835],[449 841],[423 828],-1.7857142857142858,-2.5,-2.029385138542006,63.76776201481438
698,[ 15 401],[  8 404],[ 38 398],2.5,2.5,2.5,-68.19859051364821
1605,[452 805],[459 811],[431 799],-2.5,-2.5,-2.5,68.19859051364821
155,[ 200 2131],[ 192 2141],[ 206 2115],0.3,0.3,0.2999999999999999,-16.69924423399362
1081,[  70 1193],[  70 1192],[  43 1199],2.4999999999999996,2.5,2.5,-68.19859051364821
1457,[ 309 3734],[ 309 3736],[ 322 3710],0.5,0.5,0.5,-26.56505117707799
392,[401 130],[403 132],[382 111],-1.0,-1.0,-1.0,44.99999999999999
1064,[   6 3471],[   6 3471],,inf,,inf,90.0
2441,[ 239 2500],[ 226 2485],[ 242 2510],-0.3,-0.3,-0.3,16.69924423399362
2443,[  71 3403],[  84 3415],[  62 3396],-1.3461538461538465,-1.3461538461538467,-1.34615,53.39284682374126
1097,[  72 1865],[  80 1871],[  55 1856],-1.7857142857142856,-1.7857142857142856,-1.78571,60.751115041598325
1185,[ 176 3335],[ 179 3340],[ 166 3314],-0.5,-0.5,-0.5,26.56505117707799
515,[232 571],[253 549],[231 572],0.3,0.3,0.3,-16.69924423399362
2300,[ 352 3259],[ 360 3267],[ 343 3243],-0.5,-0.7000000000000001,-0.5762603634181385,29.953142645859295
1573,[   8 3484],[   6 3484],[  37 3484],inf,inf,100.0,-89.42706130231674
583,[  86 3594],[ 104 3575],[  84 3596],1.3461538461538465,1.1764705882352942,1.1930186929228783,-50.02993037096707
211,[  33 1863],[  23 1854],[  48 1870],-1.7857142857142858,-1.5624999999999991,-1.6856324675408934,59.32149966258413
2297,[ 155 2540],[ 136 2520],[ 155 2543],-0.5,-0.3,-0.3196166716342559,17.72474642479784
1780,[ 197 2869],[ 205 2859],[ 192 2885],0.5,0.3,0.4133814656620443,-22.459294336251833
368,[  79 2584],[  64 2570],[  85 2591],-1.0,-1.0,-1.0,44.99999999999999
1194,[ 370 1668],[ 351 1650],[ 372 1671],-1.0,-1.0,-1.0,44.99999999999999
192,[ 301 2129],[ 308 2120],[ 296 2146],0.5,0.3,0.4216960868708734,-22.864962464849924
2292,[ 211 3313],[ 221 3324],[ 205 3299],-0.5,-0.3,-0.4012143070635551,21.861362524130374
