Unnamed: 0,pixel,closest contour point,closest skeleton point,slope at nc,slope at ns,average slope,average angle
1232,[ 184 1579],,[ 184 1579],,inf,inf,90.0
1403,[  43 1796],[  37 1790],[  83 1824],-2.5,-2.4999999999999996,-2.5,68.19859051364821
593,[173 586],[187 572],[143 606],1.785714285714286,1.3461538461538465,1.6298972440140105,-58.469401922599744
1161,[ 193 2236],[ 225 2207],[ 176 2237],2.4999999999999996,2.4999999999999996,2.5,-68.19859051364821
2087,[ 195 4783],[ 209 4796],[ 161 4768],-1.7857142857142858,-2.4999999999999996,-2.0282419330265333,63.75495908788855
566,[ 158 6151],[ 133 6171],[ 181 6139],2.4999999999999996,2.0,2.2238026164637708,-65.78749420002356
