Unnamed: 0,pixel,closest contour point,closest skeleton point,slope at nc,slope at ns,average slope,average angle
2300,[ 95 269],[130 304],[ 87 265],-2.4999999999999996,-1.7857142857142856,-1.895029182862208,62.17955236724585
882,[174 731],[134 762],[182 715],1.5000000000000002,1.5000000000000002,1.5,-56.30993247402022
1887,[155 545],[166 535],[120 565],1.3461538461538465,1.3461538461538465,1.34615,-53.39284682374126
2091,[175 611],[196 591],[151 624],1.785714285714286,1.7857142857142858,1.7857099999999997,-60.751115041598304
2312,[143 551],[164 531],[120 565],1.785714285714286,1.3461538461538465,1.5577788032800532,-57.30198518694664
