Unnamed: 0,pixel,closest contour point,closest skeleton point,slope at nc,slope at ns,average slope,average angle
1613,[ 253 2123],[ 234 2147],[ 253 2118],0.3,0.0,0.0421224600822827,-2.412013313367536
310,[ 273 2917],[ 264 2926],[ 276 2896],0.3,0.3,0.3,-16.69924423399362
939,[ 576 6303],[ 587 6312],[ 561 6295],-1.3461538461538465,-1.3461538461538465,-1.34615,53.39284682374126
788,[ 331 5211],[ 338 5196],[ 331 5226],0.3,0.3,0.3,-16.69924423399362
173,[  49 3441],[  70 3459],[  44 3440],-2.4999999999999996,-2.5,-2.5,68.19859051364821
44,[  88 4127],[  71 4110],[  91 4134],-1.0,-0.7941176470588236,-0.8436482362245327,40.152593538469134
18,[ 337 5220],[ 351 5197],[ 337 5227],0.3,0.0,0.061899749223243,-3.5420750830372296
788,[ 331 5211],[ 338 5196],[ 331 5226],0.3,0.3,0.3,-16.69924423399362
537,[ 207 2544],[ 215 2555],[ 203 2527],-0.3,-0.3,-0.3,16.69924423399362
1350,[ 568 6143],[ 557 6153],[ 584 6137],2.5,2.5,2.5,-68.19859051364821
699,[  70 3376],[  50 3357],[  73 3379],-1.0,-1.0,-1.0,44.99999999999999
317,[ 178 5635],,[ 178 5635],,-0.2,-0.2,11.309932474020217
1014,[ 516 6074],[ 506 6084],[ 525 6059],0.8,0.7000000000000001,0.755295907983906,-37.06360173598487
773,[  91 3358],[  69 3336],[  91 3359],-1.0,-1.0,-1.0,44.99999999999999
1101,[ 363 2138],[ 344 2157],[ 363 2128],0.3,0.0,0.0813668377094315,-4.651728767720596
1636,[  19 5792],[   8 5783],[  40 5792],-2.5,inf,-4.191984571851416,76.58281978350091
1247,[ 122 2591],[ 126 2595],[ 106 2571],-0.8,-0.7000000000000001,-0.7819092688765708,38.02218151128566
2382,[  33 6493],[  29 6491],[  55 6509],-1.7857142857142858,-1.3461538461538467,-1.7236494695050586,59.879220492831195
1089,[ 409 7179],[ 410 7185],[ 407 7154],-0.3,-0.3,-0.3,16.69924423399362
490,[ 532 3771],[ 526 3776],[ 549 3754],1.0,1.0,1.0,-44.99999999999999
422,[ 576 5436],[ 564 5427],[ 592 5439],-2.5,-2.5,-2.4999999999999996,68.19859051364818
388,[531 107],[517  93],[539 116],-1.0,-1.0,-1.0,44.99999999999999
1909,[554 822],[552 821],[580 833],-1.7857142857142858,-1.5624999999999998,-1.7693280610872386,60.52546061923969
1190,[ 119 6413],[ 113 6405],[ 130 6431],-0.5,-0.7000000000000001,-0.5643189745491535,29.43686176418708
1906,[407 552],[407 551],[401 582],0.0,0.3,0.0094954386357935,-0.5440322082598532
2428,[110 536],[ 98 547],[120 524],0.7000000000000001,0.7000000000000001,0.7,-34.99202019855866
1364,[  63 6631],[  74 6620],[  49 6639],2.4999999999999996,2.5,2.5,-68.19859051364821
246,[  67 3379],[  48 3360],[  71 3381],-1.3461538461538467,-1.3461538461538465,-1.34615,53.39284682374126
366,[  35 3382],[  33 3382],[  61 3396],-1.7857142857142856,-1.7857142857142856,-1.78571,60.75111504159832
2448,[ 149 5167],[ 154 5160],[ 139 5187],0.5,0.5,0.5,-26.56505117707799
692,[ 333 4435],[ 343 4421],[ 333 4451],0.3,0.0,0.1445580640902304,-8.225586024094317
1682,[ 135 3640],[ 116 3660],[ 138 3636],0.5,0.6,0.584656094804166,-30.312951581003315
1247,[ 122 2591],[ 126 2595],[ 106 2571],-0.8,-0.7000000000000001,-0.7819092688765708,38.02218151128566
510,[ 209 5607],[ 201 5596],[ 213 5625],-0.3,-0.3,-0.3,16.69924423399362
1710,[ 176 4832],[ 173 4828],[ 182 4858],-0.3,-0.3,-0.3,16.69924423399362
2348,[ 466 3698],[ 487 3675],[ 466 3700],0.5,0.3,0.3120682496914264,-17.33148523900596
2450,[103 987],[101 985],[ 117 1011],-0.7000000000000001,-0.7000000000000001,-0.7,34.99202019855866
1603,[ 255 7514],[ 255 7514],,0.3,,0.3,-16.69924423399362
1608,[376 562],[382 548],[374 578],0.3,0.3,0.3,-16.69924423399362
78,[ 424 2934],[ 418 2943],[ 427 2914],0.3,0.3,0.3,-16.69924423399362
1940,[ 585 3912],[ 562 3892],[ 588 3912],-2.5,-2.5,-2.5,68.19859051364821
2283,[ 288 4035],[ 288 4033],[ 291 4064],0.0,-0.3,-0.0192586946625719,1.103305532230028
1758,[  43 7353],[  69 7353],[  39 7353],inf,inf,100.0,-89.42706130231674
