,pixel,closest contour point,closest skeleton point,slope at nc,slope at ns,average slope,average angle
399,[  92 1087],[  97 1089],[  62 1077],-2.4999999999999996,-2.5,-2.5000000000000004,68.19859051364821
400,[ 36 473],[ 28 479],[ 63 464],1.7857142857142858,2.5,1.9714304195624657,-63.10378470431728
401,[269 709],[275 707],[238 717],2.5,2.4999999999999996,2.5,-68.19859051364821
402,[  42 1808],[  41 1807],[  75 1825],-1.5,-1.7857142857142856,-1.5104852287228698,56.49389063514615
403,[ 107 1021],[ 127 1041],[  99 1015],-1.1764705882352942,-1.3461538461538463,-1.3018289264961522,52.47032886881254
404,[  35 1195],[  14 1215],[  49 1193],2.5,2.5,2.5,-68.19859051364821
405,[125 190],[106 172],[133 199],-1.1764705882352942,-1.3461538461538463,-1.2926823582392104,52.27499276115993
406,[ 85 516],[ 63 538],[ 92 513],1.1764705882352942,1.3461538461538463,1.312783220179251,-52.702011014769205
407,[ 32 359],[ 10 340],[ 47 360],-2.5,-2.5,-2.5000000000000004,68.19859051364821
408,[ 56 525],[ 54 525],[ 86 505],1.3461538461538467,1.3461538461538463,1.3461500000000002,-53.392846823741266
409,[  76 1324],[  73 1327],[ 104 1304],1.0,1.3461538461538463,1.0379952469954594,-46.068066830996734
410,[  82 1216],[  91 1208],[  58 1225],2.4999999999999996,2.5,2.5,-68.19859051364821
411,[ 116 1829],[ 117 1830],[  86 1808],-1.3461538461538463,-1.3461538461538463,-1.3461500000000002,53.392846823741266
412,[ 170 1353],[ 185 1337],[ 158 1364],1.0,1.0,1.0,-44.99999999999999
413,[ 186 1746],[ 188 1748],[ 161 1721],-1.0,-1.0,-1.0,44.99999999999999
414,[133 219],[150 237],[123 211],-1.3461538461538463,-1.3461538461538463,-1.3461499999999997,53.39284682374126
415,[  53 2024],[  34 2043],[  65 2019],1.7857142857142856,1.7857142857142856,1.7857100000000001,-60.751115041598325
416,[255 814],[274 833],[240 810],-2.5,-2.4999999999999996,-2.5000000000000004,68.19859051364821
417,[280 744],[282 744],[243 751],inf,2.4999999999999996,49.57042595940682,-88.84431073800756
418,[ 152 1746],[ 171 1766],[ 144 1739],-1.0,-1.0,-1.0,44.99999999999999
419,[  99 1048],[ 113 1060],[  82 1038],-1.3461538461538463,-1.3461538461538463,-1.34615,53.39284682374126
420,[  96 1269],[ 113 1252],[  85 1278],1.3461538461538463,1.3461538461538463,1.34615,-53.39284682374126
421,[177 913],[156 892],[185 917],-1.1764705882352942,-1.3461538461538463,-1.3068757818407741,52.57737366311429
422,[203 733],[203 733],,inf,,inf,90.0
423,[ 115 2130],[ 105 2139],[ 133 2113],1.0,1.3461538461538463,1.12187050663307,-48.28719524407474
424,[  63 2046],[  45 2063],[  74 2037],1.5,1.3461538461538463,1.4022581543449981,-54.505985940857904
425,[ 184 1365],[ 198 1351],[ 171 1378],1.0,1.0,1.0,-44.99999999999999
426,[  78 1313],[  69 1322],[  99 1298],1.1764705882352942,1.3461538461538463,1.2325146228008215,-50.94587330376905
427,[  38 2026],[  29 2033],[  63 2015],1.7857142857142858,2.5,1.9960731827742249,-63.38988003064749
428,[  90 1054],[ 107 1070],[  78 1045],-1.7857142857142856,-1.3461538461538463,-1.5180983526364515,56.62635053916799
429,[ 247 1603],[ 269 1624],[ 237 1598],-2.5,-2.4999999999999996,-2.4999999999999996,68.19859051364818
430,[208  54],[198  46],[231  63],-2.4999999999999996,-2.4999999999999996,-2.5000000000000004,68.19859051364821
431,[172 212],[173 212],[146 186],-1.3461538461538463,-1.3461538461538463,-1.34615,53.39284682374126
432,[  42 1161],[   9 1191],[  46 1161],2.5,inf,30.37387890122219,-88.11433068204487
433,[  90 1758],[  82 1750],[ 113 1773],-1.0,-1.3461538461538463,-1.1010049141329512,47.75235106168521
434,[ 190 1397],[ 215 1371],[ 188 1398],1.0,1.3461538461538463,1.3259436058732954,-52.97713606400797
435,[ 211 1615],[ 196 1602],[ 228 1623],-1.785714285714286,-1.7857142857142858,-1.7857100000000004,60.75111504159832
436,[ 215 1575],[ 205 1571],[ 240 1579],-2.4999999999999996,-2.4999999999999996,-2.5,68.19859051364821
437,[230 741],[207 755],[241 741],2.4999999999999996,2.4999999999999996,2.5,-68.19859051364821
438,[232 132],[237 135],[206 113],-1.3461538461538463,-1.3461538461538463,-1.34615,53.39284682374126
439,[223 675],[251 648],[222 675],1.785714285714286,1.7857142857142858,1.7857099999999997,-60.751115041598304
440,[ 102 1847],[ 105 1849],[  72 1832],-1.7857142857142856,-1.7857142857142856,-1.78571,60.75111504159832
441,[ 129 2050],[ 129 2050],,1.3461538461538463,,1.3461538461538463,-53.392925187392514
442,[  38 1993],[  20 2010],[  53 1987],2.5,2.5,2.5,-68.19859051364821
443,[126 219],[147 241],[120 214],-1.0,-1.0,-1.0,44.99999999999999
444,[ 123 2076],[ 138 2061],[ 110 2086],1.176470588235294,1.3461538461538463,1.272163515444504,-51.83044066461365
445,[  57 1283],[  48 1292],[  78 1268],1.7857142857142856,1.3461538461538463,1.640525096662369,-58.63514718045387
446,[155 212],[164 222],[137 195],-1.0,-1.0,-1.0,44.99999999999999
447,[180 630],[160 650],[187 622],1.176470588235294,1.3461538461538463,1.299798974396439,-52.427125801020004
448,[ 252 1524],[ 279 1500],[ 243 1527],2.5,2.4999999999999996,2.5,-68.19859051364821
449,[163 160],[139 136],[166 164],-1.0,-1.0,-1.0,44.99999999999999
450,[ 105 2081],,[ 105 2081],,1.3461538461538463,1.3461538461538463,-53.392925187392514
451,[  67 1905],[  83 1914],[  49 1902],-2.4999999999999996,-2.5,-2.5,68.19859051364821
452,[ 211 1441],[ 186 1464],[ 214 1437],1.7857142857142858,1.3461538461538463,1.4025463957841726,-54.51155267800289
453,[199 950],[203 955],[174 931],-1.0,-1.3461538461538463,-1.0586301835049259,46.63135383867807
454,[220 153],[222 156],[193 132],-1.3461538461538463,-1.3461538461538463,-1.34615,53.39284682374126
455,[ 107 1052],[ 114 1059],[  85 1034],-1.5,-1.3461538461538463,-1.4602597828159654,55.596280160923754
456,[ 110 1043],[ 119 1051],[  90 1027],-1.3461538461538463,-1.3461538461538463,-1.3461499999999997,53.39284682374126
457,[218 853],[194 831],[224 856],-1.785714285714286,-1.7857142857142858,-1.7857100000000001,60.751115041598325
458,[  34 1232],[  23 1243],[  57 1224],1.7857142857142858,2.5,2.0641444297945535,-64.1515647477119
459,[ 192 1464],[ 188 1468],[ 222 1452],1.7857142857142858,2.4999999999999996,1.8921325432044473,-62.14336004209223
460,[109 221],[ 84 196],[111 224],-1.0,-1.1764705882352942,-1.1601389657727623,49.239789071359766
461,[ 179 1736],[ 190 1745],[ 162 1720],-1.3461538461538463,-1.176470588235294,-1.2819396590792536,52.04334979623857
462,[ 169 1437],[ 169 1437],,1.3461538461538463,,1.3461538461538463,-53.392925187392514
463,[ 149 2123],[ 173 2100],[ 146 2126],1.3461538461538463,1.3461538461538463,1.34615,-53.39284682374126
464,[ 92 986],[ 81 975],[ 108 1003],-1.1764705882352942,-1.3461538461538463,-1.24432331191678,51.2129125697171
465,[ 136 1759],[ 157 1781],[ 130 1754],-1.0,-1.0,-1.0,44.99999999999999
466,[105 516],[127 496],[ 98 520],1.3461538461538463,1.3461538461538463,1.34615,-53.39284682374126
467,[205 628],[225 608],[197 634],1.176470588235294,1.3461538461538463,1.3018289264961522,-52.47032886881254
468,[ 262 1467],[ 268 1461],[ 234 1479],2.5,2.4999999999999996,2.5,-68.19859051364821
469,[ 278 1566],[ 282 1566],[ 243 1561],-2.5,-2.4999999999999996,-2.5,68.19859051364821
470,[ 217 1503],[ 204 1512],[ 238 1498],2.4999999999999996,2.4999999999999996,2.5,-68.19859051364821
