Unnamed: 0,pixel,closest contour point,closest skeleton point,slope at nc,slope at ns,average slope,average angle
346,[ 187 1650],[ 174 1637],[ 205 1686],-0.6,-0.7000000000000001,-0.6313551460592356,32.266476940360796
1607,[ 190 2445],[ 166 2419],[ 203 2464],-0.7000000000000001,-0.7000000000000001,-0.7,34.99202019855866
1477,[1019 1095],[1005 1112],[1028 1055],0.3,0.3,0.3,-16.69924423399362
471,[1208  296],[1234  325],[1201  272],-0.3,-0.3,-0.3,16.69924423399362
59,[1083 1211],[1071 1189],[1087 1248],-0.3,-0.3,-0.3,16.69924423399362
858,[1440  856],[1472  886],[1422  848],-2.4999999999999996,-2.4999999999999996,-2.4999999999999996,68.19859051364818
974,[1299 2619],[1304 2626],[1267 2579],-0.5,-0.7000000000000001,-0.528757181123565,27.86796875242086
956,[176 227],[179 231],[138 189],-1.176470588235294,-1.0,-1.161448749285059,49.2717579383715
1505,[1454 2435],[1468 2449],[1417 2418],-1.7857142857142858,-2.4999999999999996,-2.019397975544021,63.655520691686405
2294,[ 111 3681],[  87 3703],[ 132 3666],1.3461538461538465,1.3461538461538465,1.34615,-53.39284682374126
143,[ 759 1375],[ 780 1399],[ 750 1349],-0.3,-0.3,-0.2999999999999999,16.69924423399362
1675,[ 189 2885],[ 199 2874],[ 164 2921],1.0,0.7000000000000001,0.9240173926195792,-42.73847074582736
2120,[ 354 2967],[ 374 2945],[ 350 2998],0.3,0.3,0.3,-16.69924423399362
226,[ 191 2138],[ 216 2112],[ 177 2155],0.7000000000000001,0.7000000000000001,0.7,-34.99202019855866
2384,[ 688 3298],[ 670 3318],[ 703 3269],0.5,0.5,0.5,-26.56505117707799
1575,[ 603 1700],[ 576 1727],[ 612 1678],0.5,0.3,0.376734100997641,-20.643102735862275
2204,[  98 2808],[ 133 2773],[  87 2813],2.4999999999999996,1.7857142857142856,1.9258646920429687,-62.559527012755886
1097,[ 176 3670],[ 197 3649],[ 155 3690],1.0,1.0,1.0,-44.99999999999999
692,[ 797 2056],[ 786 2045],[ 816 2095],-0.3,-0.5,-0.3527885259277842,19.432257037129776
140,[ 997 2076],[1010 2091],[ 987 2038],-0.3,-0.3,-0.3,16.69924423399362
