Unnamed: 0,pixel,closest contour point,closest skeleton point,slope at nc,slope at ns,average slope,average angle
626,[  89 2839],[  63 2863],[  91 2837],1.3461538461538467,1.3461538461538465,1.34615,-53.39284682374126
1730,[  65 1921],[  82 1930],[  47 1920],-0.8333333333333334,-2.5,-1.6936718063100216,59.440988763629726
278,[ 222 6138],[ 202 6154],[ 235 6136],2.4999999999999996,2.4999999999999996,2.4999999999999996,-68.19859051364818
1054,[  48 4373],[  41 4380],[  74 4361],1.3461538461538467,1.7857142857142856,1.459070890542168,-55.57452138758027
243,[ 204 4047],[ 207 4051],[ 178 4027],-1.0,-1.3461538461538465,-1.045784082953877,46.28204971615893
499,[197 859],[185 849],[215 873],-1.785714285714286,-1.3461538461538465,-1.6070158168942488,58.10717652875378
318,[ 223 5538],[ 241 5556],[ 211 5532],-1.7857142857142858,-1.3461538461538465,-1.4978601773008335,56.27217124469072
1286,[  55 4204],[  84 4233],[  53 4204],-2.4999999999999996,inf,-53.76524163602469,88.93445705377408
1526,[  76 2616],[  98 2637],[  69 2612],-2.4999999999999996,-1.3461538461538465,-1.587927187904437,57.79925380646577
694,[217 778],[207 778],[243 778],inf,inf,100.0,-89.42706130231674
2332,[ 137 2860],[ 150 2849],[ 122 2874],1.3461538461538465,1.1764705882352942,1.2691932618129391,-51.7653517280455
1519,[  95 1772],[  77 1755],[ 105 1782],-1.0,-1.0,-1.0,44.99999999999999
280,[  58 2783],[  30 2809],[  60 2781],1.7857142857142858,1.7857142857142856,1.78571,-60.75111504159832
1126,[ 241 5401],[ 207 5405],[ 242 5401],2.4999999999999996,2.4999999999999996,2.5000000000000004,-68.19859051364821
1132,[ 118 5245],[ 114 5249],[ 141 5221],1.0,1.0,1.0,-44.99999999999999
1814,[  96 4378],[ 117 4358],[  89 4384],1.3461538461538465,1.3461538461538465,1.3461499999999995,-53.39284682374126
2361,[229 845],,[229 845],,-1.7857142857142858,-1.7857142857142858,60.75117366345304
1170,[ 83 489],[107 466],[ 79 492],1.3461538461538465,1.3461538461538465,1.34615,-53.39284682374126
933,[ 214 3855],[ 207 3855],[ 242 3851],2.4999999999999996,2.4999999999999996,2.5,-68.19859051364821
684,[ 135 2137],[ 119 2153],[ 149 2129],1.0,1.3461538461538465,1.2021184464786456,-50.24412222116358
1687,[ 131 2092],[ 150 2073],[ 123 2100],1.0,1.0,1.0,-44.99999999999999
2458,[ 117 1330],[  95 1352],[ 122 1324],1.0,1.0,1.0,-44.99999999999999
1799,[  64 2751],[  85 2735],[  53 2756],2.4999999999999996,2.5,2.5000000000000004,-68.19859051364821
1794,[ 259 5454],[ 277 5472],[ 241 5453],-2.5,-2.4999999999999996,-2.5,68.19859051364821
1391,[ 130 4879],[ 145 4895],[ 118 4868],-1.0,-1.0,-1.0,44.99999999999999
1811,[ 247 3137],[ 273 3162],[ 240 3135],-2.5,-2.4999999999999996,-2.4999999999999996,68.19859051364818
1269,[130 242],[138 251],[110 226],-1.176470588235294,-1.3461538461538465,-1.2307328353304368,50.905311883585526
31,[222 630],[233 619],[204 644],1.176470588235294,1.3461538461538465,1.2452815516840905,-51.234447138894154
769,[ 231 4730],[ 256 4754],[ 226 4728],-1.7857142857142858,-1.785714285714286,-1.78571,60.75111504159832
597,[  76 4387],[  57 4406],[  85 4379],1.1764705882352942,1.3461538461538465,1.2936408504456889,-52.29554368733209
956,[ 230 4681],[ 207 4658],[ 240 4681],-2.4999999999999996,inf,-10.631727983645296,84.62667714417132
1675,[  42 1198],[  16 1221],[  50 1195],2.5,2.5,2.5,-68.19859051364821
2373,[ 225 3929],[ 202 3909],[ 233 3934],-2.4999999999999996,-2.4999999999999996,-2.5,68.19859051364821
1402,[  14 4204],[  12 4204],[  51 4210],-2.500000000000001,-2.5,-2.5,68.19859051364821
2358,[  76 5115],[  96 5096],[  66 5120],2.4999999999999996,1.7857142857142856,1.9917123706270037,-63.33966379863927
1617,[ 102 2062],[ 124 2042],[  95 2066],1.3461538461538465,1.3461538461538465,1.34615,-53.39284682374126
789,[  37 3450],[  13 3427],[  48 3453],-2.5,-2.5,-2.5000000000000004,68.19859051364821
1151,[ 176 3303],[ 179 3307],[ 152 3280],-1.0,-1.0,-1.0,44.99999999999999
969,[ 147 1744],[ 169 1767],[ 142 1740],-1.0,-1.0,-1.0,44.99999999999999
2236,[ 267 4604],[ 278 4596],[ 241 4610],2.5,2.4999999999999996,2.4999999999999996,-68.19859051364818
