Unnamed: 0,pixel,closest contour point,closest skeleton point,slope at nc,slope at ns,average slope,average angle
1248,[ 102 4161],[ 104 4164],[  83 4143],-1.0,-1.0,-1.0,44.99999999999999
1177,[  71 1826],[  52 1807],[  73 1828],-1.1764705882352942,-1.3461538461538465,-1.3299900000000002,53.061030340574035
2447,[ 333 1719],[ 339 1727],[ 324 1702],-0.5,-0.5,-0.5,26.56505117707799
1279,[ 409 6159],[ 402 6163],[ 428 6153],2.5,2.5,2.5,-68.19859051364821
1300,[ 405 6294],[ 423 6312],[ 402 6291],-1.176470588235294,-1.176470588235294,-1.17647,49.63544929005889
821,[ 391 3153],[ 390 3153],[ 415 3168],-1.785714285714286,-1.3461538461538465,-1.7707089472009745,60.54460400487673
2154,[ 114 5669],[ 134 5689],[ 113 5668],-0.7000000000000001,-0.8,-0.7952380952380953,38.493057329337496
1861,[  62 6606],[  67 6606],[  40 6609],2.4999999999999996,2.5,2.5,-68.19859051364821
242,[ 420 4575],[ 441 4554],[ 419 4575],1.785714285714286,1.7857142857142858,1.78571,-60.75111504159832
40,[ 210 3320],[ 214 3325],[ 202 3299],-0.3,-0.3,-0.3,16.69924423399362
2149,[ 339 3740],[ 331 3747],[ 347 3723],0.7000000000000001,0.7000000000000001,0.7,-34.99202019855866
321,[ 156 4073],[ 147 4064],[ 163 4089],-0.5,-0.5,-0.5,26.56505117707799
1387,[ 274 2908],[ 292 2888],[ 273 2912],0.5,0.3,0.3265746608166532,-18.08572598464744
1147,[ 158 1344],[ 154 1350],[ 165 1323],0.5,0.3,0.4508563655187765,-24.268535673465696
293,[ 103 4885],[  90 4873],[ 111 4894],-0.7000000000000001,-0.7000000000000001,-0.7000000000000001,34.99202019855867
1562,[ 444 2342],[ 460 2356],[ 433 2338],-2.5,-2.5,-2.5,68.19859051364821
2193,[ 66 472],,[ 66 472],,1.7857142857142856,1.7857142857142856,-60.751173663453024
2327,[391 134],[395 139],[378 115],-1.0,-0.7000000000000002,-0.9347171839924378,43.067412001325785
1539,[ 165 2126],[ 163 2129],[ 177 2103],0.3,0.5,0.3244048755429639,-17.97331562968525
945,[ 368 4747],[ 362 4741],[ 381 4763],-1.0,-0.7000000000000001,-0.9125253057971452,42.38124234975587
1929,[ 122 6720],[ 139 6703],[ 118 6724],0.7000000000000001,0.8,0.780952380952381,-37.9881417255249
2421,[451 779],[463 786],[434 778],-2.5,-2.5,-2.5,68.19859051364821
963,[  43 4925],[  41 4923],[  66 4939],-1.1764705882352942,-1.3461538461538465,-1.1925997124212409,50.02002205161389
165,[ 215 4085],[ 224 4097],[ 211 4071],-0.3,-0.3,-0.3,16.69924423399362
919,[ 335 2492],[ 343 2500],[ 326 2476],-0.7000000000000001,-0.5,-0.6237396365818615,31.953424978061356
1299,[ 402 4761],[ 413 4773],[ 392 4752],-1.0,-1.0,-1.0,44.99999999999999
1878,[ 421 3927],[ 400 3906],[ 423 3927],-2.5,-1.9999999999999996,-2.031547249213935,63.791944104175805
1979,[ 125 3621],[ 142 3604],[ 123 3626],0.7000000000000001,0.7000000000000001,0.7,-34.99202019855866
2396,[ 109 6690],[ 114 6684],[  97 6708],1.0,0.7000000000000001,0.9204214736481982,-42.627132004322384
2315,[ 443 6932],[ 457 6919],[ 430 6932],2.5,2.5,2.5,-68.19859051364821
409,[ 270 2901],[ 283 2885],[ 268 2910],0.3,0.3,0.3,-16.69924423399362
1948,[  60 1869],[  74 1883],[  51 1865],-2.4999999999999996,-1.7857142857142856,-2.022993350763179,63.69603013670456
2228,[412 121],[413 122],[392 101],-1.176470588235294,-1.176470588235294,-1.17647,49.63544929005889
1720,[416 795],[405 784],[430 800],-2.5,-2.5,-2.5,68.19859051364821
2285,[ 343 6062],[ 331 6073],[ 349 6050],0.7000000000000001,0.7000000000000001,0.7,-34.99202019855866
765,[ 321 6007],[ 325 6003],[ 312 6029],0.5,0.3,0.4615527615340439,-24.775816012315712
1034,[  71 7488],[  65 7494],[  86 7473],1.1764705882352942,1.0,1.12605,-48.39300045446225
232,[ 148 4068],[ 145 4065],[ 159 4091],-0.5,-0.5,-0.5,26.56505117707799
1179,[ 367 5306],[ 356 5317],[ 377 5296],0.8,0.8,0.8,-38.659808254090095
226,[  25 7338],[   9 7327],[  38 7339],-2.5,-2.5,-2.5000000000000004,68.19859051364821
2142,[  19 1185],[  10 1190],[  39 1181],2.5,2.5,2.4999999999999996,-68.19859051364818
795,[  65 2785],[  82 2769],[  59 2787],1.7857142857142856,1.7857142857142856,1.78571,-60.75111504159832
543,[  50 6553],[  66 6563],[  40 6553],-2.4999999999999996,inf,-7.2169905660283,82.11121805282434
2166,[  18 2745],[  12 2750],[  40 2739],2.5,2.5,2.4999999999999996,-68.19859051364818
1448,[  68 6649],[  79 6640],[  55 6656],1.7857142857142856,1.7857142857142856,1.7857099999999997,-60.751115041598304
1549,[ 163 4454],[ 163 4455],[ 172 4427],0.5,0.3,0.4932112487165598,-26.25303353170025
167,[365 934],[366 936],[353 910],-0.7000000000000001,-0.7000000000000001,-0.7,34.99202019855866
1728,[347 880],[345 879],[362 903],-0.8,-0.7000000000000001,-0.7924699164576723,38.39576583868254
429,[ 132 4438],[ 130 4440],[ 144 4414],0.6,0.5,0.590464232606174,-30.560331253499943
1124,[ 456 6238],[ 459 6238],[ 430 6232],-2.5,-2.5,-2.5,68.19859051364821
40,[ 210 3320],[ 214 3325],[ 202 3299],-0.3,-0.3,-0.3,16.69924423399362
1295,[ 379 6305],[ 363 6290],[ 384 6311],-1.0,-1.0,-1.0,44.99999999999999
272,[ 339 7108],[ 326 7094],[ 344 7117],-0.5,-0.5,-0.5,26.56505117707799
978,[ 303 6388],[ 308 6393],[ 294 6367],-0.3,-0.3,-0.3,16.69924423399362
745,[ 399 3773],[ 380 3792],[ 401 3771],1.1764705882352942,1.176470588235294,1.17647,-49.63544929005889
1154,[  13 5017],[   7 5017],[  37 5024],inf,-2.5,-12.916666666666666,85.5730283525206
379,[ 355 4813],[ 359 4817],[ 342 4793],-0.5,-0.7000000000000001,-0.5383378109301542,28.295259830585852
382,[313 171],[324 184],[308 159],-0.5,-0.5,-0.5,26.56505117707799
2260,[186 577],[179 585],[195 560],0.5,0.3,0.428813278335005,-23.21029623959154
597,[  88 4108],[  83 4103],[ 100 4127],-0.8,-0.7000000000000001,-0.7760653877317127,37.81380112872107
430,[ 344 6074],[ 340 6079],[ 355 6054],0.7000000000000001,0.7000000000000001,0.7,-34.99202019855866
4,[  25 1208],[  17 1216],[  43 1201],2.5,2.5,2.5,-68.19859051364821
312,[ 266 2927],[ 258 2938],[ 271 2912],0.3,0.3,0.3,-16.69924423399362
1002,[ 243 2881],[ 248 2873],[ 238 2900],0.3,0.3,0.3,-16.69924423399362
409,[ 270 2901],[ 283 2885],[ 268 2910],0.3,0.3,0.3,-16.69924423399362
239,[429 791],[406 773],[432 791],-2.5,inf,-26.83846977751705,87.86614932209163
1800,[ 127 3364],[ 129 3367],[ 114 3342],-0.8,-0.7000000000000001,-0.7876350360337345,38.22520720354559
2229,[  56 4302],[  69 4289],[  45 4305],2.4999999999999996,2.5,2.5000000000000004,-68.19859051364821
1874,[ 260 7581],[ 253 7588],[ 269 7563],0.3,0.3,0.3,-16.69924423399362
672,[ 21 386],[  7 392],[ 37 386],2.5,2.5000000000000004,2.5,-68.19859051364821
2377,[ 347 1404],[ 331 1421],[ 350 1399],0.7000000000000001,0.7000000000000001,0.7,-34.99202019855866
462,[  81 6675],[  93 6662],[  72 6682],1.3461538461538465,1.3461538461538465,1.34615,-53.39284682374126
2061,[ 353 5546],[ 342 5533],[ 359 5557],-0.7000000000000001,-0.7000000000000001,-0.7,34.99202019855866
1761,[ 123 1003],[105 986],[ 126 1007],-0.7000000000000001,-0.7000000000000001,-0.6999999999999998,34.992020198558656
2394,[ 244 6002],[ 266 5980],[ 244 6003],0.3,0.3,0.3,-16.69924423399362
2437,[ 133 2060],[ 140 2052],[ 124 2076],0.7000000000000001,0.7000000000000001,0.7000000000000001,-34.99202019855867
266,[ 298 4836],[ 304 4844],[ 290 4818],-0.3,-0.5,-0.3673452472471681,20.17056801776281
2051,[  79 5092],[  80 5091],[  56 5107],1.7857142857142856,1.3461538461538467,1.7641803420359363,-60.45389720972946
1196,[ 378 7118],[ 385 7125],[ 367 7102],-1.0,-0.7000000000000001,-0.8986952440339314,41.9458834742458
2081,[ 437 3916],[ 453 3932],[ 428 3914],-1.7857142857142858,-2.5,-2.29321642915131,66.43948896428394
