Unnamed: 0,pixel,closest contour point,closest skeleton point,slope at nc,slope at ns,average slope,average angle
1478,[ 416 3163],[ 395 3144],[ 418 3163],-1.785714285714286,-1.7857142857142858,-1.78571,60.75111504159832
182,[ 60 458],[ 79 438],[ 58 460],1.3461538461538465,1.5,1.4856926371532446,-56.056026248272346
1855,[ 446 6950],[ 461 6936],[ 433 6950],2.5,2.5,2.4999999999999996,-68.19859051364818
544,[ 449 2346],[ 460 2356],[ 432 2346],-2.5,-2.5,-2.5,68.19859051364821
1712,[ 432 2320],[ 406 2320],[ 434 2320],inf,inf,100.0,-89.42706130231674
1629,[ 243 2148],[ 236 2155],[ 249 2129],0.3,0.3,0.3,-16.69924423399362
2495,[ 394 2997],[ 377 3013],[ 398 2992],1.0,1.176470588235294,1.138486078840264,-48.705239804901616
562,[ 330 3227],[ 324 3219],[ 338 3244],-0.7000000000000001,-0.5,-0.630527318355289,32.23255126953461
1975,[ 182 2891],[ 167 2906],[ 186 2882],0.3,0.5,0.4365859353213814,-23.585404801252057
1781,[  76 5669],[  71 5664],[  88 5688],-1.0,-0.7000000000000001,-0.9281961631951382,42.86735563453776
1659,[164 967],[156 959],[173 983],-0.5,-0.3,-0.4237396365818615,22.964298779958405
641,[  56 4939],[  40 4924],[  62 4945],-1.1764705882352942,-1.1764705882352942,-1.17647,49.63544929005889
