Unnamed: 0,pixel,closest contour point,closest skeleton point,slope at nc,slope at ns,average slope,average angle
1722,[698 992],[ 708 1005],[689 970],-0.3,-0.3,-0.3,16.69924423399362
2419,[ 377 1337],[ 371 1325],[ 382 1361],-0.3,-0.3,-0.3,16.69924423399362
2205,[774 178],[789 193],[766 162],-0.6,-0.7000000000000002,-0.6542512929075341,33.194769600199656
2109,[ 338 1734],[ 320 1759],[ 338 1723],0.3,0.3,0.3,-16.69924423399362
1335,[865 866],[875 876],[843 854],-1.7857142857142858,-1.7857142857142858,-1.78571,60.751115041598325
1730,[ 555 2120],[ 576 2148],[ 555 2112],-0.3,0.0,-0.055813953488372,3.1945894651104343
1205,[482 989],[ 473 1004],[484 967],0.3,0.3,0.3,-16.69924423399362
579,[684 564],,[684 564],,0.3,0.3,-16.69924423399362
254,[832 800],[823 795],[858 805],-2.5,-2.5,-2.5000000000000004,68.19859051364821
1521,[125 993],[100 968],[127 996],-1.0,-0.8,-0.8185085671527599,39.300619333019405
691,[785  95],[785  95],,-1.0,,-1.0,44.99999999999999
1608,[ 407 1350],[ 386 1323],[ 409 1357],-0.3,-0.3,-0.2999999999999999,16.69924423399362
1346,[ 318 2116],[ 318 2106],[ 318 2143],0.0,0.0,0.0,0.0
774,[296 616],[296 630],[302 591],0.0,0.3,0.1057670217426505,-6.037557353760696
1472,[ 511 1768],[ 499 1785],[ 516 1749],0.3,0.3,0.2999999999999999,-16.69924423399362
2342,[ 96 993],[ 84 981],[ 111 1009],-1.0,-1.0,-1.0,44.99999999999999
1395,[ 154 1301],[ 162 1293],[ 141 1325],0.6,0.5,0.5706962487763532,-29.71324069007743
1464,[  67 1895],[  85 1908],[  51 1893],-2.4999999999999996,-2.5,-2.5,68.19859051364821
1173,[ 647 1735],[ 638 1717],[ 651 1752],-0.3,-0.3,-0.3,16.69924423399362
94,[511 970],[539 937],[511 971],0.3,0.0,0.0067753477590969,-0.3881928913605204
2077,[ 566 1308],[ 559 1296],[ 569 1334],-0.3,-0.3,-0.3,16.69924423399362
2034,[ 555 1739],[ 572 1717],[ 551 1752],0.3,0.3,0.3,-16.69924423399362
607,[ 589 2118],[ 597 2147],[ 589 2110],-0.3,0.0,-0.0630198846506044,3.606004704850204
2078,[  61 1020],[  54 1014],[  85 1037],-1.1764705882352942,-1.3461538461538465,-1.2169658586591388,50.58951624170723
742,[ 20 382],[  7 390],[ 46 381],2.5,2.5,2.5,-68.19859051364821
264,[778 930],,[778 930],,-0.8,-0.8,38.659808254090095
1637,[787 165],[803 183],[776 155],-0.7000000000000001,-0.7000000000000002,-0.7,34.99202019855866
990,[783 142],[761 118],[787 146],-0.7000000000000002,-0.8,-0.7851970981584104,38.13890021002594
1213,[ 674 2098],[ 689 2079],[ 671 2115],0.3,0.3,0.3,-16.69924423399362
2339,[615 518],[615 517],[615 556],0.0,0.3,0.0076923076923076,-0.440728072761014
663,[144 196],[123 175],[150 204],-0.6,-0.7000000000000001,-0.6748101217265536,34.01187541249481
1739,[ 177 2113],[ 199 2089],[ 174 2119],0.3,0.3,0.3,-16.69924423399362
1454,[ 457 1769],[ 452 1777],[ 462 1740],0.3,0.3,0.2999999999999999,-16.69924423399362
632,[781 576],[789 566],[768 598],0.7000000000000001,0.7000000000000001,0.6999999999999998,-34.992020198558656
530,[517 950],[525 935],[513 971],0.3,0.3,0.3,-16.69924423399362
2232,[ 304 1402],[ 304 1407],[ 304 1367],0.0,0.0,0.0,0.0
680,[ 845 1600],[ 822 1577],[ 853 1603],-2.5,-2.5,-2.5,68.19859051364821
1605,[ 275 1735],[ 286 1759],[ 275 1723],-0.3,-0.3,-0.2999999999999999,16.69924423399362
213,[ 402 1712],[ 416 1693],[ 401 1729],0.3,0.3,0.2999999999999999,-16.69924423399362
2209,[ 671 2086],[ 679 2077],[ 667 2114],0.3,0.3,0.3,-16.69924423399362
1873,[ 258 1402],[ 257 1404],[ 261 1365],0.3,0.3,0.3,-16.69924423399362
34,[ 828 1697],[ 837 1707],[ 810 1679],-1.0,-1.0,-1.0,44.99999999999999
1477,[ 713 1381],[ 709 1388],[ 723 1353],0.3,0.3,0.3,-16.69924423399362
1225,[ 654 1750],[ 623 1718],[ 654 1752],-0.3,0.0,-0.0128884418434803,0.7384124375697106
1365,[ 640 1311],[ 649 1296],[ 634 1334],0.3,0.3,0.3,-16.69924423399362
103,[604 974],[604 941],[604 979],0.0,0.0,0.0,0.0
761,[801 184],[801 185],[776 155],-0.8,-0.7000000000000002,-0.7974547181270885,38.57077466624301
532,[698 222],[702 230],[690 193],-0.3,-0.3,-0.3,16.69924423399362
2440,[ 102 1074],[ 105 1077],[  72 1059],-1.7857142857142856,-1.3461538461538465,-1.736352814296601,60.06150710667557
756,[  94 1285],,[  94 1285],,1.0,1.0,-44.99999999999999
651,[ 322 1693],[ 330 1683],[ 318 1721],0.3,0.3,0.3,-16.69924423399362
242,[865 840],[884 857],[852 834],-2.5,-2.5,-2.4999999999999996,68.19859051364818
476,[ 69 355],[ 84 361],[ 49 355],-2.4999999999999996,-2.5,-2.4999999999999996,68.19859051364818
1022,[ 676 1302],[ 677 1300],[ 669 1338],0.3,0.3,0.3,-16.69924423399362
755,[ 533 2105],[ 507 2079],[ 533 2114],-0.3,0.0,-0.0589911818084903,3.376033220659008
2321,[ 108 1060],[ 113 1065],[  82 1042],-1.1764705882352942,-1.3461538461538465,-1.2074780015181226,50.36938244509447
938,[  61 2082],[  60 2082],[  92 2060],1.1764705882352942,1.3461538461538465,1.1808193021088482,-49.73975053628396
