Unnamed: 0,pixel,closest contour point,closest skeleton point,slope at nc,slope at ns,average slope,average angle
1784,[476 957],[500 931],[476 965],0.3,0.2,0.2184401427783894,-12.322143409896096
2057,[ 112 1827],[ 119 1834],[  89 1810],-1.0,-1.3461538461538465,-1.089005009999357,47.4396920902225
1782,[ 266 2167],[ 259 2181],[ 268 2142],0.3,0.3,0.3,-16.69924423399362
356,[ 589 1718],[ 589 1718],,0.2,,0.2,-11.309932474020217
877,[  89 1235],[ 100 1226],[  68 1246],1.7857142857142856,2.4999999999999996,2.0534362646938655,-64.03444698778752
1356,[254 198],[259 208],[250 172],-0.3,-0.3,-0.3,16.69924423399362
557,[  21 1983],[  13 1987],[  51 1976],2.5,2.5,2.5,-68.19859051364821
2,[736 153],[724 141],[746 172],-0.3,-0.5,-0.3882929882272086,21.22084216572358
2486,[401 149],[406 138],[395 175],0.3,0.3,0.3,-16.69924423399362
723,[449 944],[466 925],[447 960],0.3,0.3,0.3,-16.69924423399362
2013,[868 684],[881 671],[848 692],2.5,2.5,2.5000000000000004,-68.19859051364821
1310,[  98 1834],[ 110 1846],[  80 1822],-1.3461538461538465,-1.3461538461538465,-1.34615,53.39284682374126
1942,[ 238 2157],[ 221 2175],[ 243 2139],0.3,0.3,0.3,-16.69924423399362
1559,[410 565],[394 545],[411 580],-0.3,-0.3,-0.2999999999999999,16.69924423399362
456,[775 900],[765 891],[790 920],-1.0,-0.7000000000000001,-0.8950401343399711,41.82981954689644
676,[  37 1128],[  12 1105],[  49 1128],-2.5,inf,-9.57720322977626,84.03908333597305
1261,[ 68 289],[ 97 315],[ 67 289],-2.4999999999999996,-1.7857142857142856,-1.803590188409539,60.99383683318218
2093,[ 283 2137],[ 283 2106],[ 280 2142],0.0,0.3,0.2525050133526846,-14.171247590590482
267,[ 352 2169],[ 360 2180],[ 348 2142],-0.3,-0.3,-0.3,16.69924423399362
2306,[343 936],[363 909],[343 946],0.3,0.0,0.0688064000956935,-3.936112545287776
19,[707 210],[720 225],[701 190],-0.3,-0.3,-0.3,16.69924423399362
2265,[447 578],[473 609],[447 575],-0.3,-0.3,-0.3,16.69924423399362
1943,[153 235],[161 243],[138 212],-0.6,-0.7000000000000002,-0.6291795216330929,32.17726221866888
147,[779 899],[768 889],[795 916],-0.7000000000000001,-0.7000000000000001,-0.7,34.99202019855866
2190,[ 190 2132],[ 165 2158],[ 193 2127],0.5,0.3,0.3278324870759472,-18.15082452394852
1137,[109 265],[121 278],[ 92 253],-1.1764705882352942,-1.3461538461538465,-1.2544416864570265,51.43929005989674
473,[519 962],[539 937],[519 972],0.3,0.0,0.0714020146610732,-4.084102910233607
1859,[  55 2004],[  28 2031],[  59 2004],1.7857142857142858,2.5,2.4322687313519507,-67.65053553086766
1321,[  90 1302],[  72 1319],[ 100 1292],1.0,1.0,1.0,-44.99999999999999
156,[725 964],[750 990],[722 960],-0.3,-0.3,-0.3,16.69924423399362
1009,[ 733 2163],[ 726 2172],[ 742 2138],0.5,0.5000000000000001,0.5,-26.56505117707799
2300,[ 348 2125],[ 341 2105],[ 349 2141],-0.3,-0.3,-0.3,16.69924423399362
