Unnamed: 0,pixel,closest contour point,closest skeleton point,slope at nc,slope at ns,average slope,average angle
2302,[  99 1251],[ 102 1247],[  81 1267],1.3461538461538465,1.3461538461538465,1.34615,-53.39284682374126
4,[178 211],[195 231],[177 207],-0.3,-0.3,-0.2999999999999999,16.69924423399362
1694,[259 180],[279 202],[259 178],-0.3,-0.4,-0.3936972414784916,21.489422896765085
1211,[ 325 2189],[ 322 2193],[ 339 2169],0.5,0.7000000000000001,0.5339984434876838,-28.10214760364087
1212,[408 779],[405 779],[433 779],inf,-2.5,-23.33333333333333,87.54596832547297
491,[428 754],[406 764],[433 754],2.5,inf,14.583045973594574,-86.07721005353922
144,[418 844],[438 863],[416 842],-1.3461538461538465,-1.785714285714286,-1.74483288324394,60.1820813470036
1098,[341 605],[354 592],[337 615],0.7000000000000001,0.7000000000000001,0.7,-34.99202019855866
1045,[413 834],[395 819],[419 836],-2.5,-1.7857142857142858,-1.9375339090052657,62.70083646648653
1770,[231 195],[247 213],[230 188],-0.3,-0.3,-0.2999999999999999,16.69924423399362
1225,[ 208 2098],[ 217 2089],[ 202 2114],0.3,0.3,0.3,-16.69924423399362
909,[ 398 2256],[ 391 2261],[ 416 2246],1.7857142857142858,1.785714285714286,1.78571,-60.75111504159832
1577,[ 152 1778],[ 167 1795],[ 149 1772],-0.5,-0.3,-0.3456654593891851,19.068499893192055
1422,[ 237 2148],[ 230 2155],[ 246 2130],0.3,0.3,0.3,-16.69924423399362
898,[ 222 2116],[ 241 2097],[ 219 2120],0.3,0.3,0.3,-16.69924423399362
1504,[ 428 1621],[ 441 1634],[ 418 1615],-1.7857142857142858,-1.3461538461538465,-1.516754752759495,56.603040723612885
786,[ 430 2213],[ 430 2212],[ 406 2228],1.176470588235294,1.3461538461538465,1.1822607421943274,-49.774219305893254
1500,[ 410 1538],[ 406 1540],[ 433 1533],2.5,2.5,2.5,-68.19859051364821
2212,[ 331 1695],[ 313 1676],[ 332 1698],-0.7000000000000001,-0.7000000000000001,-0.7,34.99202019855866
590,[ 110 1042],[ 118 1050],[  99 1028],-0.8,-0.7000000000000001,-0.7611455804273933,37.276416580799705
1682,[ 297 1382],[ 283 1398],[ 301 1374],0.3,0.5,0.4407753606537229,-23.786703099413547
960,[445 696],[449 695],[422 705],2.5,2.5,2.5000000000000004,-68.19859051364821
947,[ 133 1284],[ 139 1277],[ 124 1302],0.6,0.7000000000000001,0.6314186728602483,-32.26907932056238
116,[219 173],[212 163],[225 189],-0.3,-0.3,-0.2999999999999999,16.69924423399362
1147,[435 689],[443 682],[418 697],1.785714285714286,1.7857142857142858,1.78571,-60.75111504159832
1095,[438 864],[438 864],,-1.785714285714286,,-1.785714285714286,60.751173663453024
1806,[ 164 2098],[ 185 2077],[ 164 2099],0.3,0.3,0.3,-16.69924423399362
2214,[ 152 1335],[ 142 1346],[ 158 1321],0.5,0.5,0.5,-26.56505117707799
2378,[ 31 448],[ 22 455],[ 47 439],1.7857142857142858,2.5,2.059377566513181,-64.09955013477034
559,[337 624],[322 641],[342 619],0.7000000000000001,0.7000000000000001,0.7,-34.99202019855866
39,[  16 1878],[  14 1878],[  42 1888],-2.5,-2.5,-2.5000000000000004,68.19859051364821
952,[ 93 258],[113 279],[ 92 258],-1.0,-1.0,-1.0,44.99999999999999
634,[ 133 1038],[ 133 1039],[ 115 1016],-0.6,-0.7000000000000001,-0.6033984313267786,31.10671525756853
1946,[ 102 1047],[ 110 1057],[  90 1036],-0.7000000000000001,-0.7000000000000001,-0.6999999999999998,34.992020198558656
475,[ 371 2231],[ 370 2231],[ 393 2213],1.1764705882352942,1.3461538461538465,1.1822364582752778,-49.77363901676132
910,[  31 1179],[  11 1198],[  39 1179],2.5,inf,11.120696390083577,-84.86164441377414
1345,[ 85 291],[ 93 300],[ 71 281],-1.1764705882352942,-1.3461538461538465,-1.246332567322525,51.258043507275
1686,[444 823],[453 831],[427 817],-2.5,-2.5,-2.5000000000000004,68.19859051364821
1653,[ 233 1356],[ 215 1374],[ 235 1350],0.3,0.5,0.4601983900065839,-24.711811256053107
1158,[277 157],[265 145],[282 169],-0.3,-0.3,-0.3,16.69924423399362
781,[257 552],[258 551],[248 578],0.3,0.3,0.3,-16.69924423399362
1762,[  99 1842],[ 100 1843],[  79 1823],-1.3461538461538465,-1.3461538461538465,-1.3461500000000002,53.392846823741266
1075,[  62 1876],[  73 1886],[  49 1870],-2.4999999999999996,-1.7857142857142856,-2.1361456846761,64.91416144930128
2187,[101 503],[118 486],[ 99 508],0.8,0.7000000000000001,0.7183002081602343,-35.6896950657259
2199,[339 885],[338 885],[356 908],-0.7000000000000001,-0.7000000000000001,-0.7,34.99202019855866
1141,[ 201 2132],[ 192 2142],[ 208 2117],0.3,0.3,0.3,-16.69924423399362
1432,[ 283 2154],[ 270 2169],[ 286 2144],0.3,0.3,0.3,-16.69924423399362
409,[ 65 322],[ 75 330],[ 51 314],-1.7857142857142856,-2.5,-2.1018915993568212,64.55667363199781
1529,[ 243 1757],[ 249 1764],[ 236 1738],-0.3,-0.3,-0.3,16.69924423399362
339,[ 256 2119],[ 268 2106],[ 251 2131],0.5,0.3,0.3847131641227829,-21.04239126590573
662,[ 463 2307],[ 464 2307],[ 430 2287],inf,inf,100.0,-89.42706130231674
1911,[ 335 1382],[ 351 1366],[ 331 1388],0.5,0.5,0.5,-26.56505117707799
1949,[417 830],[398 811],[421 832],-1.785714285714286,-1.7857142857142858,-1.78571,60.75111504159832
2129,[  33 1207],[  18 1221],[  43 1203],2.5,2.5,2.5,-68.19859051364821
337,[403  31],[400  30],[427  38],-2.5,-2.5,-2.5,68.19859051364821
1490,[  6 370],[  6 370],,inf,,inf,90.0
297,[140 257],[140 258],[125 233],-0.7000000000000001,-0.7000000000000002,-0.6999999999999998,34.992020198558656
2053,[ 198 1775],[ 203 1780],[ 190 1754],-0.3,-0.3,-0.3,16.69924423399362
1045,[413 834],[395 819],[419 836],-2.5,-1.7857142857142858,-1.9375339090052657,62.70083646648653
1688,[314 160],[332 180],[313 157],-0.5,-0.3,-0.3210331063150505,17.79834984405591
2247,[376 665],[366 675],[387 654],1.0,1.0,1.0,-44.99999999999999
1466,[ 441 1588],[ 455 1602],[ 429 1585],-1.7857142857142858,-2.5,-2.225342107043096,65.80232197593156
1845,[  20 1140],[   8 1130],[  38 1140],-2.5,inf,-4.66951379886296,77.91240049381874
2373,[  47 2003],[  28 2020],[  51 2000],1.7857142857142858,2.5,2.382884454065432,-67.23418212613535
1516,[191 971],[173 953],[194 976],-0.3,-0.3,-0.3,16.69924423399362
1092,[108 226],[ 97 216],[118 237],-0.7000000000000002,-0.7000000000000001,-0.7,34.99202019855866
850,[ 122 1299],[ 142 1279],[ 122 1301],0.6,0.5,0.5066040882531311,-26.86695995012147
946,[283 615],[280 621],[291 594],0.3,0.3,0.3,-16.69924423399362
2036,[ 192 1348],[ 180 1362],[ 197 1337],0.5,0.3,0.379175627903235,-20.765506526032972
1446,[ 448 1605],[ 453 1607],[ 426 1596],-2.5,-2.5,-2.5,68.19859051364821
2454,[286 622],[285 623],[298 597],0.3,0.3,0.3,-16.69924423399362
2419,[ 260 1363],[ 242 1383],[ 261 1359],0.3,0.3,0.2999999999999999,-16.69924423399362
2295,[402 673],[381 693],[402 672],1.1764705882352942,1.3461538461538465,1.340494,-53.27729546111613
2183,[ 98 997],[ 94 994],[ 114 1016],-0.8,-0.7000000000000001,-0.7832436784655842,38.069598288381975
2128,[ 149 1317],[ 128 1339],[ 149 1316],0.5,0.5,0.5,-26.56505117707799
1418,[282 561],[282 559],[274 587],0.4,0.3,0.3931513747235134,-21.46233913347487
2382,[ 362 1425],[ 351 1437],[ 369 1414],0.7000000000000001,0.7000000000000001,0.7,-34.99202019855866
2120,[ 74 264],[ 59 249],[ 80 270],-1.0,-1.0,-1.0,44.99999999999999
886,[ 127 1782],[ 106 1762],[ 127 1783],-0.7000000000000001,-0.7000000000000001,-0.7,34.99202019855866
2435,[  60 1194],[  68 1186],[  42 1195],2.4999999999999996,2.5,2.5,-68.19859051364821
1201,[  85 2059],[  70 2074],[  89 2052],0.8,0.7000000000000001,0.7275393022765898,-36.03736189323822
1744,[424 830],[445 850],[422 830],-1.7857142857142858,-1.9999999999999996,-1.9861748387096776,63.27564358431114
66,[394  47],[393  47],[419  60],-1.785714285714286,-1.7857142857142858,-1.78571,60.75111504159832
1727,[362 913],[378 929],[357 908],-0.8,-0.7000000000000001,-0.7238095238095238,35.897377511708086
