Unnamed: 0,pixel,closest contour point,closest skeleton point,slope at nc,slope at ns,average slope,average angle
1520,[376 983],[376 987],[372 956],-0.2,-0.3,-0.2127817218808846,12.01234250109172
1195,[ 375 2105],[ 375 2098],[ 374 2129],0.0,0.3,0.0676964602798297,-3.8728125523841377
1381,[429 927],[420 917],[435 944],-0.3,-0.3,-0.2999999999999999,16.69924423399362
584,[  65 1081],[  82 1097],[  58 1077],-1.7857142857142856,-1.7857142857142856,-1.78571,60.75111504159832
671,[ 178 5225],[ 171 5235],[ 183 5206],0.3,0.3,0.2999999999999999,-16.69924423399362
35,[600 781],[623 801],[593 781],-2.5,inf,-13.385536181520122,85.72751207043576
1349,[ 472 5265],[ 456 5281],[ 475 5256],0.3,0.3,0.3,-16.69924423399362
1986,[ 142 4134],[ 142 4135],[ 125 4109],-0.6,-0.7000000000000001,-0.6032017998812333,31.098455439942253
728,[ 458 3710],[ 444 3726],[ 463 3700],0.3,0.3,0.2999999999999999,-16.69924423399362
1895,[ 208 4852],,[ 208 4852],,-0.4,-0.4,21.801409486351808
2178,[ 197 2096],[ 212 2080],[ 194 2106],0.3,0.3,0.2999999999999999,-16.69924423399362
1746,[ 263 2507],[ 248 2487],[ 263 2516],-0.3,-0.3,-0.3,16.69924423399362
1400,[  75 1833],[  95 1851],[  72 1830],-1.3461538461538465,-1.1764705882352942,-1.1995805567292857,50.1845775604324
2306,[ 553 3940],[ 546 3935],[ 571 3953],-1.7857142857142858,-1.3461538461538465,-1.6629661559123077,58.98002780256748
687,[ 147 2880],[ 134 2894],[ 152 2868],0.5,0.5,0.5,-26.56505117707799
2415,[455 620],[449 626],[465 599],0.3,0.3,0.3,-16.69924423399362
2057,[ 563 2265],[ 555 2270],[ 582 2256],2.5,1.7857142857142858,2.2787560679694416,-66.30640855178234
467,[ 155 1738],[ 152 1734],[ 166 1762],-0.5,-0.3,-0.4681536345760593,25.086814628879456
1509,[573 768],[564 768],[594 768],inf,inf,100.0,-89.42706130231674
797,[ 584 2979],[ 587 2976],[ 564 2997],1.3461538461538465,1.3461538461538465,1.34615,-53.39284682374126
2092,[ 399 2150],[ 387 2162],[ 402 2134],0.3,0.3,0.3,-16.69924423399362
1598,[ 501 4761],[ 500 4760],[ 516 4786],-0.7000000000000001,-0.7000000000000001,-0.7,34.99202019855866
2288,[ 578 1490],[ 559 1507],[ 585 1489],2.5,2.5,2.5,-68.19859051364821
277,[ 550 2435],[ 570 2456],[ 548 2434],-1.0,-1.0,-1.0,44.99999999999999
1152,[ 99 464],[ 99 464],,1.3461538461538465,,1.3461538461538465,-53.392925187392514
2236,[ 254 6011],[ 245 6026],[ 255 5996],0.3,0.3,0.3,-16.69924423399362
1333,[ 452 3711],[ 441 3725],[ 457 3698],0.3,0.3,0.3,-16.69924423399362
2235,[ 442 1393],[ 439 1398],[ 448 1369],0.3,0.3,0.3,-16.69924423399362
1992,[238 209],[248 223],[236 194],-0.3,-0.3,-0.3,16.69924423399362
618,[ 537 6071],[ 515 6092],[ 538 6070],1.0,1.0,1.0,-44.99999999999999
704,[ 332 1734],[ 309 1706],[ 332 1735],-0.3,0.0,-0.0080568617067043,0.4616141838306167
546,[ 620 3097],[ 626 3097],[ 594 3097],inf,inf,100.0,-89.42706130231674
210,[  48 5041],[  68 5033],[  39 5041],0.8333333333333334,inf,2.8278275061019538,-70.52496135519362
2024,[  40 4161],[  34 4156],[  61 4172],-1.7857142857142856,-1.7857142857142856,-1.78571,60.75111504159832
1875,[ 569 1419],[ 576 1411],[ 553 1432],1.0,1.3461538461538465,1.1177643017093195,-48.18281665972862
995,[ 153 5992],[ 145 6001],[ 162 5974],0.5,0.3,0.4251289105222672,-23.031747751120474
2211,[  77 4913],[  60 4897],[  83 4919],-1.0,-1.0,-1.0,44.99999999999999
2179,[382 585],[361 608],[382 580],0.3,0.2,0.2138332396850767,-12.069968061292013
1685,[ 173 3318],[ 192 3337],[ 170 3312],-0.3,-0.3,-0.3,16.69924423399362
1021,[ 253 2512],[ 233 2489],[ 253 2518],-0.3,0.0,-0.0493427797926779,2.8248419612119218
