Unnamed: 0,pixel,closest contour point,closest skeleton point,slope at nc,slope at ns,average slope,average angle
1409,[424 646],[423 621],[431 676],-0.3,-0.3,-0.3,16.69924423399362
1193,[723 538],[717 530],[753 578],-0.5,-0.5,-0.5,26.56505117707799
621,[223 116],[187  78],[226 124],-0.7000000000000002,-0.5,-0.5280641886479748,27.83692982979406
2211,[618 609],[592 583],[627 632],-0.3,-0.3,-0.3,16.69924423399362
2280,[115 148],[106 140],[148 182],-1.0,-1.0,-1.0,44.99999999999999
1178,[108 476],[136 451],[ 88 486],2.4999999999999996,2.4999999999999996,2.5,-68.19859051364821
1066,[249 658],[212 697],[253 650],0.5,0.5,0.5,-26.56505117707799
1644,[1353  574],[1317  609],[1359  567],1.0,1.0,1.0,-44.99999999999999
1936,[1096  502],[1096  533],[1096  476],0.0,0.0,0.0,0.0
1062,[1099  457],[1067  417],[1103  475],-0.3,-0.3,-0.3,16.69924423399362
1556,[1428  587],[1442  572],[1398  612],1.176470588235294,1.3461538461538465,1.2349150196074434,-51.000405339198345
881,[1077  513],[1087  533],[1074  478],-0.3,-0.3,-0.3,16.69924423399362
