Unnamed: 0,pixel,closest contour point,closest skeleton point,slope at nc,slope at ns,average slope,average angle
1099,[  42 4253],[   9 4223],[  46 4253],-2.5,inf,-30.37387890122219,88.11433068204487
907,[ 142 3660],[ 163 3638],[ 136 3665],1.0,1.0,1.0,-44.99999999999999
671,[  53 2660],[  83 2689],[  51 2660],-2.4999999999999996,-2.5000000000000004,-2.5,68.19859051364821
754,[ 121 6425],[ 143 6447],[ 116 6420],-1.0,-1.0,-1.0,44.99999999999999
334,[ 205 2998],[ 187 3015],[ 217 2991],1.7857142857142858,1.785714285714286,1.78571,-60.75111504159832
356,[248 839],[266 856],[234 832],-1.7857142857142858,-1.785714285714286,-1.7857099999999997,60.751115041598304
2167,[ 186 4811],[ 204 4829],[ 177 4803],-1.3461538461538465,-1.3461538461538465,-1.3461500000000002,53.392846823741266
2238,[ 152 2170],[ 143 2179],[ 172 2154],1.0,1.3461538461538465,1.1149118954663677,-48.110058171105955
1700,[  63 5174],[  57 5180],[  87 5157],1.3461538461538467,1.3461538461538465,1.34615,-53.39284682374126
604,[207 716],[200 720],[235 709],2.4999999999999996,2.4999999999999996,2.5,-68.19859051364821
1939,[ 161 4037],[ 137 4014],[ 165 4041],-1.0,-1.0,-1.0,44.99999999999999
1516,[164 142],[148 126],[175 153],-1.3461538461538465,-1.3461538461538465,-1.34615,53.39284682374126
381,[  71 2858],[  64 2865],[  94 2841],1.1764705882352942,1.3461538461538465,1.2200995539410395,-50.66177397256066
619,[ 113 1010],[ 134 1031],[ 106 1006],-1.176470588235294,-1.3461538461538465,-1.3099217957313678,52.64172830028324
2290,[ 114 2858],[ 138 2835],[ 111 2861],1.3461538461538465,1.3461538461538465,1.34615,-53.39284682374126
424,[115 945],[111 941],[138 969],-1.1764705882352942,-1.0,-1.150806599709194,49.01080386560594
1817,[ 181 3663],[ 184 3660],[ 157 3687],1.176470588235294,1.176470588235294,1.17647,-49.63544929005889
1254,[  43 1029],[  42 1029],[  77 1045],-1.7857142857142856,-1.7857142857142856,-1.78571,60.75111504159832
871,[  29 6519],[  18 6509],[  53 6527],-2.5,-2.5,-2.5000000000000004,68.19859051364821
353,[ 101 3619],[ 126 3595],[  98 3621],1.3461538461538465,1.1764705882352942,1.1924599106023808,-50.016715018979234
1714,[ 175 4431],[ 177 4428],[ 150 4455],1.0,1.0,1.0,-44.99999999999999
919,[  55 2718],[  82 2706],[  47 2718],-5.878725253121972e-17,inf,-1.0,44.99999999999999
484,[ 126 2069],[ 137 2058],[ 107 2081],1.0,1.3461538461538465,1.141599657897502,-48.782813050692326
1873,[ 224 3229],[ 235 3239],[ 204 3217],-1.3461538461538465,-1.3461538461538465,-1.34615,53.39284682374126
2298,[143 559],[164 538],[137 565],1.0,1.0,1.0,-44.99999999999999
2447,[  50 7405],[  20 7435],[  52 7405],2.5,1.9999999999999996,2.0225091352289493,-63.69058117596136
2385,[ 204 6063],[ 229 6040],[ 201 6066],1.3461538461538465,1.3461538461538465,1.34615,-53.39284682374126
1653,[ 106 6441],[ 129 6464],[ 102 6437],-1.176470588235294,-1.0,-1.0261437037037038,45.739256923275946
25,[ 184 4441],[ 186 4438],[ 156 4461],1.0,1.3461538461538465,1.03283089363915,-45.925265414837966
1371,[   9 6584],[   6 6584],[  46 6584],inf,inf,100.0,-89.42706130231674
1068,[ 230 4766],[ 243 4777],[ 212 4755],-1.3461538461538465,-1.3461538461538465,-1.34615,53.39284682374126
2371,[211  88],[189  67],[219  91],-2.4999999999999996,-1.7857142857142858,-1.9423639657428744,62.75893404398818
1369,[  76 1822],,[  76 1822],,-1.7857142857142856,-1.7857142857142856,60.751173663453024
2464,[ 251 2428],[ 254 2432],[ 221 2414],-1.3461538461538465,-1.785714285714286,-1.403826121953608,54.53624941136919
1096,[  88 5675],[  62 5650],[  90 5677],-1.1764705882352942,-1.1764705882352942,-1.17647,49.63544929005889
1934,[ 159 3635],[ 160 3635],[ 133 3661],1.3461538461538465,1.3461538461538465,1.34615,-53.39284682374126
