Unnamed: 0,pixel,closest contour point,closest skeleton point,slope at nc,slope at ns,average slope,average angle
1162,[ 130 5250],[ 122 5257],[ 153 5234],1.0,1.3461538461538465,1.095208684368555,-47.601796070305625
2125,[ 175 6088],[ 171 6090],[ 203 6070],1.3461538461538465,1.3461538461538465,1.34615,-53.39284682374126
920,[  51 5924],[  42 5932],[  75 5913],1.3461538461538467,1.7857142857142856,1.4838367703950852,-56.02284401109284
1790,[ 123 7482],[ 129 7475],[ 101 7500],1.3461538461538465,1.3461538461538465,1.34615,-53.39284682374126
228,[229 865],[252 886],[222 861],-1.7857142857142858,-1.785714285714286,-1.78571,60.751115041598325
2330,[ 206 3737],[ 229 3714],[ 200 3739],1.5,1.3461538461538465,1.3711949443684943,-53.897068970425096
878,[ 261 2411],[ 264 2411],[ 228 2399],-2.5,-2.4999999999999996,-2.5,68.19859051364821
1966,[ 115 3586],[ 118 3584],[  86 3604],1.3461538461538465,1.3461538461538465,1.34615,-53.39284682374126
24,[ 88 457],[ 98 449],[ 66 468],2.4999999999999996,2.4999999999999996,2.5,-68.19859051364821
1383,[ 155 2161],[ 140 2176],[ 167 2148],1.0,1.0,1.0,-44.99999999999999
1801,[  77 7191],[  72 7188],[ 100 7214],-1.3461538461538465,-1.3461538461538465,-1.34615,53.39284682374126
325,[ 259 5471],[ 274 5484],[ 238 5470],-2.5,-2.4999999999999996,-2.5,68.19859051364821
510,[  71 5164],[  56 5179],[  85 5154],1.1764705882352942,1.3461538461538465,1.270162280724285,-51.78660707298583
59,[ 124 7528],,[ 124 7528],,1.1764705882352942,1.1764705882352942,-49.63546342690264
711,[  14 5821],[   7 5821],[  47 5820],inf,2.5,14.291124299442268,-85.99733794146836
1353,[ 264 3862],[ 282 3846],[ 244 3862],2.5,2.4999999999999996,2.5,-68.19859051364821
360,[  67 3636],[  63 3638],[  94 3616],1.3461538461538467,1.3461538461538465,1.34615,-53.39284682374126
980,[121 539],[144 516],[117 543],1.0,1.0,1.0,-44.99999999999999
1967,[ 232 1467],[ 260 1441],[ 230 1467],2.5,2.5000000000000004,2.5,-68.19859051364821
1607,[ 126 4373],[ 128 4373],[  96 4393],1.3461538461538465,1.3461538461538465,1.3461500000000002,-53.392846823741266
664,[ 138 3618],[ 142 3614],[ 115 3641],1.176470588235294,1.1764705882352942,1.17647,-49.63544929005889
307,[ 276 3075],[ 282 3071],[ 243 3076],2.5,2.4999999999999996,2.5,-68.19859051364821
