Unnamed: 0,pixel,closest contour point,closest skeleton point,slope at nc,slope at ns,average slope,average angle
1526,[ 194 7660],[ 187 7667],[ 220 7648],1.5,1.785714285714286,1.5733975512712777,-57.56129577595418
1059,[219 133],[230 145],[200 122],-1.3461538461538465,-1.3461538461538465,-1.3461500000000002,53.392846823741266
85,[  60 5705],[  39 5686],[  70 5710],-1.7857142857142856,-1.7857142857142856,-1.78571,60.751115041598325
1527,[ 251 4669],[ 278 4692],[ 242 4669],-2.5,-2.4999999999999996,-2.5,68.19859051364821
1338,[ 178 4009],[ 158 3990],[ 186 4016],-1.3461538461538465,-1.3461538461538465,-1.3461499999999995,53.39284682374126
1408,[ 263 3829],[ 277 3815],[ 241 3834],2.5,2.4999999999999996,2.4999999999999996,-68.19859051364818
185,[  11 4232],[   8 4231],[  47 4237],-2.5,-2.5,-2.5,68.19859051364821
2348,[ 180 7076],[ 173 7070],[ 204 7092],-1.5,-1.3461538461538465,-1.462735692405402,55.64151622975841
1938,[ 188 2442],[ 169 2425],[ 197 2451],-1.3461538461538465,-1.3461538461538465,-1.3461499999999995,53.39284682374126
2228,[ 119 4885],[ 138 4902],[ 110 4877],-1.3461538461538465,-1.1764705882352942,-1.2309025472298187,50.90917833094012
1356,[  14 1190],[   9 1190],[  48 1183],2.500000000000001,2.5,2.5,-68.19859051364821
94,[ 83 417],[ 86 414],[ 51 420],2.4999999999999996,2.5,2.4999999999999996,-68.19859051364818
318,[ 217 6055],[ 231 6043],[ 201 6066],1.3461538461538465,1.3461538461538465,1.34615,-53.39284682374126
1488,[ 233 3152],[ 204 3126],[ 235 3152],-2.4999999999999996,-2.4999999999999996,-2.5,68.19859051364821
382,[ 165 2099],[ 169 2094],[ 142 2121],1.0,1.0,1.0,-44.99999999999999
765,[  94 1226],[  98 1224],[  65 1241],1.7857142857142856,2.4999999999999996,1.8717619353112127,-61.88637209458603
2193,[  95 4838],[  93 4837],[ 125 4859],-1.0,-1.3461538461538465,-1.019920223717388,45.56502614981551
1366,[  43 6579],[   9 6548],[  46 6579],-2.5,inf,-40.84239023442447,88.59742943552055
1925,[ 277 3146],[ 277 3146],,-2.5,,-2.5,68.19859051364821
295,[ 210 6150],[ 203 6157],[ 238 6148],2.4999999999999996,2.4999999999999996,2.4999999999999996,-68.19859051364818
401,[  67 5020],[  82 5031],[  47 5020],-5.878725253121972e-17,-2.5000000000000004,-1.2046992942021058,50.30452257906228
1309,[ 197 6123],[ 192 6126],[ 226 6111],2.4999999999999996,2.4999999999999996,2.5,-68.19859051364821
2435,[  68 2578],[  52 2564],[  82 2587],-1.3461538461538467,-1.3461538461538465,-1.34615,53.39284682374126
998,[  48 5106],[  27 5127],[  58 5102],2.5,2.5,2.5,-68.19859051364821
2395,[ 149 2097],[ 161 2085],[ 134 2112],1.0,1.0,1.0,-44.99999999999999
1132,[  77 7432],[  94 7416],[  63 7438],1.7857142857142856,2.5,2.2179717751208856,-65.73117865259736
2368,[  65 7210],[  59 7205],[  90 7227],-1.1764705882352942,-1.3461538461538465,-1.2113056917737857,50.45843795393835
487,[ 175 4039],[ 197 4062],[ 170 4035],-1.0,-1.0,-1.0,44.99999999999999
1045,[ 198 7087],[ 176 7066],[ 204 7092],-1.3461538461538465,-1.3461538461538465,-1.3461500000000002,53.392846823741266
518,[  95 3636],[  76 3655],[ 105 3630],1.1764705882352942,1.3461538461538465,1.2947954423990358,-52.32027386864867
1862,[ 220 2267],[ 203 2281],[ 236 2263],2.4999999999999996,2.4999999999999996,2.5000000000000004,-68.19859051364821
2207,[ 178 5543],[ 165 5531],[ 194 5556],-1.1764705882352942,-1.3461538461538465,-1.2548347756125575,51.44803960350838
878,[ 261 2411],[ 264 2411],[ 228 2399],-2.5,-2.4999999999999996,-2.5,68.19859051364821
760,[  84 4132],[  58 4106],[  86 4132],-1.3461538461538467,-1.3461538461538465,-1.34615,53.39284682374126
500,[ 218 7699],[ 204 7712],[ 237 7693],2.4999999999999996,2.4999999999999996,2.5,-68.19859051364821
256,[ 270 3142],[ 277 3146],[ 240 3135],-2.5,-2.4999999999999996,-2.5,68.19859051364821
2410,[  91 5750],[  93 5750],[  57 5742],-1.7857142857142856,-2.5,-1.8243950281533556,61.27166715852875
2285,[  17 7410],[  13 7411],[  51 7403],2.5,2.5,2.5,-68.19859051364821
196,[ 39 414],[ 14 438],[ 49 413],2.5,2.5,2.5,-68.19859051364821
694,[  26 1871],[  16 1865],[  53 1876],-2.5,-2.5,-2.5,68.19859051364821
